question,option_a,option_b,option_c,option_d,option_e,correct_answers
CS. Tick the ECG sign of sinus bradycardia:,PQ interval 0.22 sec,Irregular RR intervals,Atrial and ventricular frequency >70 b/min,QRS complex more than 0.14 mm /sec,Atrial and ventricular frequency < 60 b/min,E
CS. Choose the correct ECG sign for respiratory arrhythmia:,QRS complex is more than 0.1 sec,Missing P wave before QRS,Present of ''F'' wave   between the QRST complexes,Cyclical shortening intervals R - R in inspiration,Cyclical lengthening intervals R - R to inspiration missing,D
CS. Mention the clinical sign of paroxysmal supraventricular tachycardia:,High heart rate,Tachycardia onset is sudden,Tachycardia onset is gradual,Vagal maneuvers stops  tachycardia attack,Tachycardia attack stops sudden,C
CS. Tick the ECG sign in reciprocal atrioventricular tachycardia with acceding ways:,PQ interval 0.2 mm sec,"Negative P waves in DII, DIII, aVF and positive in aVR following QRS",Irregular RR interval,QRS duration > 0.14 sec.,Usually aberrant QRS complex,B
CS. Choose the ECG sign for paroxysmal ventricular tachycardia:,"Abnormal QRS complex, with secondary changes in ST, T",Negative P wave before QRS,Presence of delta wave,PQ interval <0.12 sec,Negative P waves after QRS complex,A
CS. Tick the ECG sign for atrial extrasystole:,''f'' wave between RR intervals,PQ interval< 0.12 sec,Premature P wave before QRST complex,Full compensatory pause,Absence of P wave before QRST complex,C
CS. Tick the excepting ECG sign for ventricular extrasystole:,Normal PQ interval,ST segment and T wave are opposite to the main deflexion QRS complex,Full compensatory pause,Negative P wave after QRS complex,QRS duration > 0.12 sec,D
CS. Thick the excepting ECG sign for atrial flutter:,Atrial frequency contractions 300 b / min,Propagation of atrial impulses to the ventricles in relation 2:1,QRS complex usually normal,''F'' wave between where  RR-looking like a saw tooth,Incomplete compensatory pause,E
CS. Choose the main method in treatment of instable hemodynamic patients with ventricular tachycardia:,Electric shock application 75-100 J,Intravenous: Sol. Novocainamyd,Intravenous administration of Digoxin,Electric shock application 50 J,Intramuscular: Sol. Lidocaine,A
"CM. From the following, what is included in ECG classification of tachyarrhythmia?",Wide QRS complex tachyarrhythmia,Narrow QRS complex tachyarrhythmia,Normal PQ interval tachyarrhythmia,Lengthened PQ interval,With ST segment elevation tachyarrhythmia,"A,B"
CM. Choose the ECG signs for atrial fibrillation:,Irregular RR intervals,''F'' wave between RR-looking saw tooth,Absence of P-wave,''f'' wave between RR intervals,PQ interval duration 0.14 sec,"A,C,D"
CM. Choose the most common causes of atrial fibrillation:,Mitral stenosis,Thyrotoxicosis,Alcoholic cardiomyopathy,Mixedema,"Atrial septal defect type ''ostium secundum""","A,B,C,E"
"CM. Which, from the following, are included in atrial fibrillation classification:",Acute atrial fibrillation,Chronic atrial fibrillation,Paroxysmal atrial fibrillation,Persistent atrial fibrillation,Relapsing atrial fibrillation,"B,C,D"
CM. Choose correct statements of ''vagal'' paroxysmal atrial fibrillation:,is more frequently in women,Stand by is triggered,Is more common in men,It appears during emotional stress,It begin postprandial or during sleep,"B,C,E"
"CM. Choose the correct statements about ""adrenergic"" paroxysmal atrial fibrillation:",Occurs during exercise,Is caused by stressful situations,Mainly in the morning,Meets more frequently in women's,Stand by fires,"A,B,C,D"
CM. Tick the drugs that inhibit the impulse through the atrioventricular node:,Digoxin,Propronalol,Amiodarone,Verapamil,Nifedipine,"A,B,C,D"
CS. Choose the ECG sign for paroxysmal ventricular tachycardia:,"Abnormal QRS complex, with secondary changes in ST, T",Negative P wave before QRS,Presence of delta wave,PQ interval <0.12 sec,Negative P waves after QRS complex,A
CM. Mention the atrial fibrillation thromboembolic risk factors:,Age > 60 years,Artherial hypertension,Diabetes militus,History of stroke,Overweight,"A,B,C,D"
CM. Mention the characteristic of ventricular flutter:,syncope,''F'' wave between RR-looking saw tooth,absence of peripheral pulse,presence of sinusoidal regular waves,heart rates 250 -300 per min,"A,C,D,E"
CM. What is characteristic for ventricular fibrillation:,Delta waves on ECG,Lack of QRS complexes,Syncope,"Presence of distorted, irregular, chaotic waves on ECG",Presence of ''f'' waves between QRS,"B,C,D"
CM. Mention the effective resuscitation measures in ventricular fibrillation and flutter:,Chest punch in the first few seconds,Electrical cardioversion with 120-200 J (biphasic),Electrical cardioversion with 120-200 J (monophasic),Cardiac massage correctly done in the first minutes,Sol. Lidocaine intravenous,"A,B,D,E"
CM. Mention the characteristics of sinus tachycardia:,Gradually heart rate increase,Normal physiological response to physical exertion,Normal QRS complex,PQ interval is more 0.20 sec.,The rhythm is accelerated during inspiration and reduced during expiration,"A,B,C,E"
CM. Indicate the causes of sinus tachycardia:,Vagus nerve hypertonus,Alcohol abuse,Fever,Thyreotoxicosis,Cor pulmonale,"B,C,D,E"
CM. Indicate the causes of junctional nonparoxistic atrioventricular tachycardia:,Cardiac glycosides poisoning,Inferior myocardial infarction,Hypocaliemia,Heart surgery intervention,Hypocalcaemia,"A,B,C,D"
CM. Indicate the causes of reciprocal junctional atrioventricular tachycardia:,Atrial and ventricles depolarization is concomitant,Impulse circulating into the atrioventricular node,Anterograde ventricular activation of His - Purkijne system,Retrograde activation of the atria,Atria depolarization precedes ventricular depolarization,"A,B,C,D"
CM. Indicate the treatment of atrioventricular reciprocal tachycardia:,Use of vagal maneuvers,Face immersion in cold water with breath retention for 10-30 sec,Sol. Adenosine triphosphate intravenous,External electric shock with 200 J,Transoesophageal heart electric stimulation,"A,B,C,E"
CM. Indicate the characteristics of paroxysmal ventricular tachycardia:,Regular ventricular rhythm,Effectiveness of vagal maneuvers in treatment,"Abnormal QRS complex with ST,T secondary changes",PQ interval prolongation,Presence of  ''f'' wave on ECG,"A,C"
CM. Choose the antiarrhythmic drugs recommended to stop ventricular tachycardia:,Digoxin,Lidocaine,Amiodarone,Disopyramide,Novocainamid,"B,C,D,E"
CM. Indicate the ECG characteristics of atrial extrasystole:,Normal QRS complex,Lack of P wave,Negative P wave after QRS complex,Incomplete compensatory pause,Premature P wave preceding QRS complex,"A,D,E"
CM. Choose the signs of polymorphic premature heart beats:,Varying coupling intervals,Extrasistolias in the same lead have different forms,Extrasistolias in the same lead have equal forms,Coupling intervals are equal,Different outbreaks extrasistolias,"A,B,E"
CM. Choose the ECG criteria for ventricular extrasystoles:,Pathological QRS complex,Full compensatory pause,P-Q interval less than 0.12 sec,"Negative P wave, succeded QRS",Absence of P wave,"A,B,E"
CM. Choose the ECG criteria for superior atrioventricular extrasystole:,PQ interval over 0.20 sec,Normal QRS complex,"P wave negative in DII, DIII before the QRS complex","P wave negative in DII, DIII QRS after QRS",Incomplete compensatory pause,"B,C,E"
CM. Choose the ECG criteria for middle atrioventricular extrasystole:,QRS complex usually normal,"P wave negative in DII, DIII subsequent to QRS",P wave is embedded in QRS complex,Full compensatory pause,"P wave negative in DII, DIII precede QRS complex","A,C,D"
CM. Indicate the causes of sinus tachycardia:,Vagus nerve hypertonus,Alcohol abuse,Fever,Thyreotoxicosis,Cor pulmonale,"B,C,D,E"
CM. Indicate the causes of sinus tachycardia:,Vagus nerve hypertonus,Alcohol abuse,Fever,Thyreotoxicosis,Cor pulmonale,"B,C,D,E"
CM. Choose the Ist class of antiarrhythmic drugs:,Lidocaine,Mexilitin,Quinidine,Novocainamid,Amiodarone,"A,B,C,D"
CM. Choose the IInd class of antiarrhythmic drugs:,Amiodarone,Lidocaine,Metoprolol,Nebivolol,Carvedilol,"C,D,E"
CM. Choose the III rd class of antiarrhythmic drugs:,Lidocaine,Sotalol,Quinidine,Novocainamid,Amiodarone,"B,E"
CS. Indicate the main clinical feature for advanced sinoatrial and atrioventricular blocks II degree type II (Mobitz II):,Palpitations,Dyspnea on exertion,Fatigability,Syncope,Retrosternal pain,D
CS. Choose the ECG sign of II nd degree sinoatrial block:,Sinusal pauses; no P wave,Periodical lack QRS complexes,Full compensatory pause after PQRST complex,Frequent atrial and ventricularare contractions,PQ interval prolongation,A
"CS. For which conductibility disorder is characteristic ""Wenckebach period"" on ECG:","II degree atrioventricular block, type II (Mobitz II)","II degree sinoatrial block, type I (Mobitz I)",Third degree atrioventricular block,Right bundle branch block of His,Left bundle branch block of His,B
CS. Indicate the main clinical feature for advanced sinoatrial and atrioventricular blocks II degree type II (Mobitz II):,Palpitations,Dyspnea on exertion,Fatigability,Syncope,Retrosternal pain,D
CS. Choose the ECG sign for Ist degree atrioventricular block:,Prolongated QRS interval,Negative P waves before QRST complex,PQ interval > 0.2 sec,Different PQ intervals,Presence of delta wave,C
CS. Mention the ECG signs of atrioventricular block II degree:,Intermittent  lack of PQRST complex,Lack of P wave,Regular lack QRS complexes,"Presence of ""F"" waves","Presence of ""f"" waves",C
CS. Choose the definition of III degree atrioventricular block:,None of atrial impulses propagate to the ventricles,Gradual slowing of impulses propagation to the ventricles,Organic lesion of His-Purkinje system,Pausing of the electrical activity of sinus node,Impulses are conducted retrograde from the ventricles to the atria,A
CS. Choose the ECG signs of III degree atrioventricular block:,Atrial - ventricular contractions ratio is 3:1,Independent atrial and ventricular contractions,Sinus pause without P wave,Irregular lack of PQRST complexes,Regular QRST complexes lack,B
CS. Choose the ECG sign for complete right bundle branch block:,"Presence of large R wave, crocheted in III, AVF, V1, V2",PQ interval prolongation,PQ interval shortening,"R wide, crocheted in I, AVL, V5, V6","S is larger in III, AVF, V1, V2",A
CS. Choose the ECG sign for complete left bundle branch block:,"presence of wide R wave, jagged in III, AVF, V1, V2",PQ interval prolongation,PQ interval shortening,"Wide, jagged R wave in I, AVL, V5, V6","S range in I, AVL, V5, V6",D
CS. What is the indication for cardioverter-defibrillator implantation:,Recurrent ventricular fibrillation,Complete atrioventricular block,Atrial fibrillation,Atrial flutter,Complete sinoatrial block,A
CM. Indicate the causes of asistolia:,Atrioventricular block III degree,Atrioventricular block  I degree,Ectopic rhythm from the middle of atrioventricular junction,Complete sinoatrial block,Permanent atrial fibrillation,"A,D"
CM. Choose the causes of enhanced automatism:,Myocardial fibers extension,Electrolyte disbalance,Catecholamines influence,Myocardial infarction,Anemia,"A,B,C,D"
CM. Indicate the electrophysiological mechanisms of arrhythmias:,Decreasing of normal automatism,Increasing of normal automatism,Presence of pathological automatism,Early postdepolarization,Late postdepolarization,"B,C,D,E"
