question,option_a,option_b,option_c,option_d,option_e,correct_answers
Select effective type of therapy for cardial achalasia with clinical improvement in 60% of patients at 6 months:,Balloon dilatation for reducing the basal lower esophageal sphincter pressure by tearing muscle fibers,Endoscopic intrasphincteric injection of botulinum toxin,Heller's extramucosal myotomy of the lower esophageal sphincter,Laparoscopic myotomy,Nitrates and calcium channel blockers,B
Select case in which long-term (24-48 h) esophageal pH recording is necessary:,Only when the role of reflux in the symptom complex is unclear,Patients with no acid reflux,Patients with alkaline (bile) reflux,Peptic ulcer,Achalasia,A
Select which of the following factors has lowest aggressive role in the pathogenesis of reflux esophagitis,Hydrochloricacid,Pepsin,Mucus,Duodenal secretion,Pancreatic secretion,C
Select the symptom which is absent in list of alarming symptom in gastroesophageal reflux disease:,Weight loss,Anemia,Sialorrhea,Odynophagia,Dysphagia,C
Select the drug with lowest efficiency in treatment of alkaline esophagitis:,General antireflux measures,Cholestyramine,Aluminum hydroxide,Sucralfate,Antisecretory agents,E
Select the most sensitive method for diagnostic of Herpes simplex virus (HSV) esophagitis:,Barium swallow,Superior digestive endoscopy,Cytologic smear examination,Culture for HSV,PCR assays for HSV,E
Select the factor with lowest role on precipitation or exacerbation of gastro-esophageal reflux disease symptoms:,Caffeine,Mineral water,Weight loss,Eating prior to recumbency,Chewing gum with peppermint,C
"Select the pathogenic factor, which is characteristic forgastro esophageal reflux disease:",Transient low esophageal sphincter relaxation,Increased intra-abdominal pressure,Delayed gastric emptying,Decreased intra-abdominal pressure,Decreased gastric complaints,D
In which case initial dysphagia to liquids (or more pronounced to liquid than to solid foods) is typical:,Barrett's esophagus,Achalasia,Esophageal diverticula,Gastroesophageal reflux disease,Tumors of the esophagus,B
"Select clinical manifestation, whichisthe least specific for cardial achalasia",Regurgitation,Irritating cough,Weight loss,Chest pain,Sialorrhea,E
Select disease in which heartburn is the pathognomonic sign:,Gastric cancer,Achalasia,Gastroesophageal Reflux Disease,Chronic gastritis type A,Gastric ulcer,C
Indicate the condition where is presented metaplasia of malpighiene esophageal mucosa with intestinal columnar mucosa:,Esophageal ulcer,Peptic stenosis,Barrett syndrome,Erosive esophagitis,Gastric ulcer,C
What is the most typical statement that characterizes the gastroesophageal reflux disease?,The presence of gastroesophageal reflux,The presence of pathologic gastroesophageal reflux (> 50 episode / 24 h; pH<4; more than 5 min one episode),Esophagitis,Intestinal metaplasia,Increased tone of lower esophageal sphincter,B
What does dysphagia means?,"A sensation of ""sticking"" or obstruction of the passage of food through the mouth, pharynx, or esophagus","Complete esophageal obstruction, which is usually due to bolus inpaction and represents a medical emergency",Painful swallowing,"Occurs in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed",A
What does aphagia means?,"Complete esophageal obstruction, which is usually due to bolus impaction and represents a medical emergency",Painful swallowing,"Occurs in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, being characteristic of oropharyngeal dysphagia",A
What is the difficulty swallowing in initiating?,Painful swallowing,"Occuring in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, is characteristic for oropharyngeal dysphagia",Fear of swallowing,B
What does odynophagia means?,"Occuring in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, is characteristic of oropharyngeal dysphagia",Fear of swallowing,Painful swallowing,E
What does globus pharyngeus means?,"Occuring in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, is characteristic of oropharyngeal dysphagia",Fear of swallowing,"May occur in hysteria, rabies, tetanus, and pharyngeal paralysis due to fear of aspiration",B
What does misdirection of food mean?,"Occuring in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, is characteristic of oropharyngeal dysphagia",Fear of swallowing,"May occur in hysteria, rabies, tetanus, and pharyngeal paralysis due to fear of aspiration",C
What does phagophobia means?,"Occuring in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, is characteristic of oropharyngeal dysphagia",Fear of swallowing,The subjective feeling of a need to vomit,D
What does refusal to swallow means?,"Occuring in disorders of the voluntary phase of swallowing, once initiated, swallowing is completed normally","The sensation of a lump lodged in the throat, no difficulty is encountered when swallowing is performed","Resulting in nasal regurgitation and laryngeal and pulmonary aspiration during swallowing, is characteristic of oropharyngeal dysphagia",Painful swallowing,"May occur in hysteria, rabies, tetanus, and pharyngeal paralysis due to fear of aspiration",E
What does nausea means?,Subjective feeling of a need to vomit,Effortless passage of gastric contents into the mouth,"Repeated regurgitation of stomach contents, which may be rechewed and reswallowed",Oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,Postprandial fullness and early satiety,A
What does vomiting means?,Subjective feeling of a need to vomit,Effortless passage of gastric contents into the mouth,"Repeated regurgitation of stomach contents, which may be rechewed and reswallowed",Oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,Postprandial fullness and early satiety,D
What does regurgitation means?,Subjective feeling of a need to vomit,Effortless passage of gastric contents into the mouth,"Repeated regurgitation of stomach contents, which may be rechewed and reswallowed",Oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,Postprandial fullness and early satiety,B
What does rumination means?,Subjective feeling of a need to vomit,Effortless passage of gastric contents into the mouth,"Repeated regurgitation of stomach contents, which may be rechewed and reswallowed",Oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,Postprandial fullness and early satiety,C
Select is the most common cause of upper gastrointestinal bleeding:,Peptic ulcers,Mallory-Weiss syndrome,Esophageal varices,Erosive gastropathy,Hemorrhagic gastropathy,A
"Select the drug, which is the most effective and commonly used in GERD:",PPIs,H2-blokers,Antacids,Prokinetiks,Calcium channel blockers,A
Indicate the rate of cancer development in long-segment Barrett's esophagus:,0.5% per year,10% per year,50% per year,50% during 5 years,85% during 10 years,A
Indicate the most common symptom of Mallory-Weiss syndrome:,Hemathemesis and melena,Vomiting,Regurgitation,Dysphagia,Odynophagia,A
Indicate are the most important causes of peptic ulcer disease?,Anticoagulants and glucocorticoids,Heart failure and chronic pancreatitis,Helicobacter pylori infection and non-steroid antiinflammatory drugs,Non-steroid anti-inflammatory drugs and stress related mucosal damage,Smoking and alcohol drinking,C
Select the most common complication of peptic ulcer disease:,Gastrointestinal bleeding,Perforation,Penetration,Malignization,Gastric outlet obstruction,A
What does nausea means?,The subjective feeling of a need to vomit,The oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,The effortless passage of gastric contents into the mouth,"A nonspecific term that encompasses a variety of upper abdominal complaints including nausea, vomiting, heartburn, regurgitation, and dyspepsia (the presence of symptoms thought to originate in the gastroduodenal region)",Characterized by burning retrosternal discomfort that may move up and down the chest like a wave,A
Select the characteristic of heartburn or pyrosis:,The subjective feeling of a need to vomit,The oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,The effortless passage of gastric contents into the mouth,"A nonspecific term that encompasses a variety of upper abdominal complaints including nausea, vomiting, heartburn, regurgitation, and dyspepsia (the presence of symptoms thought to originate in the gastroduodenal region)",Characterized by burning retrosternal discomfort that may move up and down the chest like a wave,E
What does indigestion means?,The subjective feeling of a need to vomit,The oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,The effortless passage of gastric contents into the mouth,"A nonspecific term that encompasses a variety of upper abdominal complaints including nausea, vomiting, heartburn, regurgitation, and dyspepsia (the presence of symptoms thought to originate in the gastroduodenal region)",Characterized by burning retrosternal discomfort that may move up and down the chest like a wave,D
Select the characteristic of regurgitation:,The subjective feeling of a need to vomit,The oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,The effortless passage of gastric contents into the mouth,"A nonspecific term that encompasses a variety of upper abdominal complaints including nausea, vomiting, heartburn, regurgitation, and dyspepsia (the presence of symptoms thought to originate in the gastroduodenal region)",Characterized by burning retrosternal discomfort that may move up and down the chest like a wave,C
Select what does vomiting means?,The subjective feeling of a need to vomit,The oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,The effortless passage of gastric contents into the mouth,"A nonspecific term that encompasses a variety of upper abdominal complaints including nausea, vomiting, heartburn, regurgitation, and dyspepsia (the presence of symptoms thought to originate in the gastroduodenal region)",Characterized by burning retrosternal discomfort that may move up and down the chest like a wave,B
What does rumination means?,"The repeated regurgitation of stomach contents, which may be rechewed and reswallowed",The oral expulsion of gastrointestinal contents resulting from contractions of gut and thoracoabdominal wall musculature,The effortless passage of gastric contents into the mouth,"A nonspecific term that encompasses a variety of upper abdominal complaints including nausea, vomiting, heartburn, regurgitation, and dyspepsia (the presence of symptoms thought to originate in the gastroduodenal region)",Characterized by burning retrosternal discomfort that may move up and down the chest like a wave,A
Indicate in which case can be used the term gastritis:,Histologically documented inflammation of the gastric mucosa,Mucosal erythema seen during endoscopy,Dyspepsia,Epigastric pain,Nausea and vomiting,A
Select the symptom complex associated with peptic duodenal ulcer disease:,Burning epigastric pain exacerbated by fasting and improved with meals,Nausea and vomiting,Odynophagia,Heartburn,Flatulence,A
Indicate the mechanism of transmission of H. pylori from person to person:,Oral-oral or fecal-oral route,Parenteral route,Vertical transmission,Respiratory route,Direct contact,A
Indicate the scheme of a first-line Helicobacter pylori eradication regimen (by V Maastriht Consensus) for patients who present allergy for peniciline:,"Pantoprazole 40 mg/day+ Metronidazole 1500 mg/day+ Furazolidone 400 mg/day, 5 days","Omeprazole 80 mg/day+ Ciprofluoxacine 1000 mg/day+ Amoxyciline 2000 mg/day, 7 days","Esomeprazole 40 mg/day+ Tetracycline 2000mg/day+ Metronidazole 1500 mg day, 7 day","Esomeprazole 80 mg/day+ Bismuth subcitrate 480mg/day + Metronidazole 1000 mg/day + Tetraciclin 1000 mg/day, 14 days","Omeprazole 40 mg/day+ Ofloxacin 400 mg/day, Metronidazole 1000 mg/day, 5 days",D
Indicate the most important causes of peptic ulcer disease:,Anticoagulants and glucocorticoids,Heart failure and chronic pancreatitis,Helicobacter pylori infection and non-steroid antiinflammatory drugs,Non-steroid anti-inflammatory drugs and stress related mucosal damage,Smoking and alcohol drinking,C
Select the  most common complication of peptic ulcer disease:,Gastrointestinal bleeding,Perforation,Gastric outlet obstruction,Penetration,Malignancy,A
Select which of the situations mentioned below has lowest probability to appear as complication after surgery for peptic ulcer disease,Afferent loop syndromes,Dumping syndrome,Postvagotomy diarrhea,Maldigestion and malabsorption,Zollinger-Ellison syndrome,E
Select which of the following conditions increase the risk of gastric adenocarcinoma in patients with a gastric ulcer:,Smal size of ulcer (diameter<1.0 cm),Intestinal metaplasia of epithelium,Nodular folds in the adjacent mucosa that radiate to the edge of the ulcer,Simultaneous occurrence of a duodenal ulcer,Pyloric localization of ulcer,B
"Select the factor, which has the lowest probability to compromise the accuracy of C13 urea breath test for the presence of H. Pylori:",Recent use of PPI,Recent use of antibiotics,Prior partial gastrectomy,Recent use of H2-receptor antagonist,Small numbers of organisms in the stomach,D
Select the test with lowest informativity in confirmation of eradication of H. Pylori:,Serological test,Endoscopy with biopsy for rapid urease testing,Endoscopy and biopsy for histologic examination,Stool antigen test,Urea breath test,A
"Select the classification system, which is absentin list of classification system used for evaluation of chronic gastritis:",Sydnei Classifictaion (1990),Baylor Classification,OLGA Classification,Los Angeles Classification,Houston Update of SydneiClassifictaion (1994),D
Which of the methods can be done in follow-up of gastric ulcer for the risk of developing gastric cancer?,Endoscopy without biopsy,Endoscopy with biopsy,Manometry of low esophageal sphincter,Radiology examination of the stomach,24 hour pH-metry,B
Indicate the type of gastritis that has an increased risk for development of gastric cancer?,Chronic atrophic gastritis with intestinal metaplasia,Lymphocytic gastritis,Granulomatous gastritis,Hemorrhagic gastritis,Stress-induced gastritis,A
Which of the following statements concerning portal- hypertensive gastropathy is FALSE:,It occurs in patients with cirrhosis and portal hypertension,It can manifest as severe digestive bleeding,Always requires biopsy for diagnosis,The lesions are caused by nitric oxide,It requires treatment by propranolol,C
Indicate the part of the world where has been more commonly reported the Lymphocytic gastritis:,North America,South America,Africa,Europe,Asia,D
Select the most frequent complication of H pylori gastritis:,MALT lymphoma,Pernicious anemia,Sarcoidosis,Autoimmune gastritis,Eosinophilic gastroenteritis,A
Indicate the diagnostic method that can confirmed the chronic gastritis:,By endoscopy and histology,By endoscopy and in clinical context,By endoscopy only,By clinical context only,It is a diagnosis of exclusion in patients with dyspepsia,A
Indicate the scheme of a first-line Helicobacter pylori eradication regimen (by V Maastriht Consensus) for patients who were exposed for macrolides:,"Pantoprazole 40 mg/day+ Metronidazole 1500 mg/day+ Furazolidone 400 mg/day, 5 days","Omeprazole 80 mg/day+ Ciprofluoxacine 1000 mg/day+ Amoxyciline 2000 mg/day, 7 days","Esomeprazole 80 mg/day+ Tetracycline 2000mg/day+ Metronidazole 1500 mg day, 7 day","Esomeprazole 80 mg/day+ Claritromicyne 1000 mg/day+ Amoxyciline 2000 mg/day, 10 days","Omeprazole 40 mg/day+ Bismuth subcitrate 480mg/day + Metronidazole 1000 mg/day + Tetraciclin 1000 mg/day, 14 days",E
Indicate the correct statement about irritable bowel syndrome:,Affects up to 50% of adults,Prevalence is equally in men and women,Is of viral etiology,Is characterized by abdominal pain and altered bowel habits,Is characterized by fever,D
Select the feature which make less probable diagnosis of irritable bowel syndrome and suggests an organic disease,Abdominal discomfort witch relieved by defecation,Bloating,Presence of mucus in the stool,Onset of symptoms following an episode of psychological stress,Nocturnal diarrhea,E
Select the marker of celiac disease:,Antinuclear antibodies (ANA),Anti mitochondrial antibodies (AMA),Perinuclear anti neutrophil cells antibodies (pANCA),Antiendomysial antibodies (EMA),Anti smooth mussel antibodies (ASMA),D
Indicate the FALSE statement about the mechanism of diarrhea in celiac disease:,May be secondary to fat malabsorption,May be secondary to colitis,May be secondary to lactase deficiency,May be secondary to bile-acid malabsorption,May be secondary to endogenous fluid secretion resulting from crypt hyperplasia,B
Select the hallmark of diagnosis of celiac disease:,Abnormal small intestinal biopsy,Severe malabsorption syndrome,Reverts of histological changes following a gluten-free diet,Presence of antimitocondrial antibody,Presence of antigliadin antibody,C
Select the false affirmation about Crohn's disease:,Is a transmural inflammation,Can affect any part of the gastrointestinal tract,"Is characteristic ""cobblestone"" sign",Is characteristic fistula formation,Is a superficial inflammation,E
Select the correct answer about the volume of gastrointestinal tract affectation in Crohn's disease:,Only colon,Only esophagus,Any part of the gastrointestinal tract,Only small intestine,Only stomach,C
"Indicate endoscopic lesions, least characteristic for Crohn's disease:",Deep longitudinal ulcers,"""Cobblestone"" pattern",Aphtous ulcers,Skip lesions with areas of healthy mucosa between,Superficial transversal ulcers,E
Select the sign of easy degree of malabsorption:,Weight loss >15%,Muscle weakness,Edema,Dermatitis,Anemia,E
Choose the most common localization of Crohn's disease:,Colon alone,Ileocolonic region,Upper segment of gastrointestinal tract,Lower segment of gastrointestinal tract,Gastric,B
Indicate the primary function of the small intestine:,The digestion and assimilation of nutrients from the food,Regulation of water and electrolytes secretion,The storage of intraluminal contents,The salvage of some nutrients after bacterial metabolism of carbohydrate,Regulation the absorption of water and electrolytes,A
Select correct statement. Irritable bowel syndrome is:,Functional bowel disorder,Dystrophic bowel disorder,Inflammatory bowel disorder,Bowel disorders caused by bacterial overgrowth,Bowel disorders caused by infection,A
Select the mainstay of therapy for mild to moderate ulcerative colitis:,Sulfasalazine and 5-ASA agents,Corticosteroids,Azathioprine,Methotrexate,Infliximab,A
Select the main sign of ulcerative colitis:,Transmural inflammation,Continuous inflammation of colon,"""Cobblestone"" pattern",Granuloma on biopsy,Skip inflammation of colon,B
Select the endoscopic lesions characteristic for ulcerative colitis:,Deep transversal ulcers,Stenosis,Deep longitudinal ulcers,Continuous lesions of mucosa,Fistulas,D
Choose the etiology of inflammatory bowel diseases:,Viral,Bacterial,Toxic,Unknown,Parasitic,D
Indicate the most often pattern of ulcerative colitis evolution:,Continuous progressive,With acute severe onset,With rare relapses,Without spontaneous relapses,With severe general complication,C
Select the antibodies characteristic for ulcerative colitis:,Antimitochondrial antibodies ( AMA),Antinuclear antibodies  (ANA),Anti-smooth mussel antibodies (ASMA),Perinuclear antineutrophil cells antibodies (pANCA),Anti liver-kidney microsome antibodies (LKM),D
Choose the basic medicine for maintenance of remission in mild-moderate ulcerative colitis:,Mesalasine,Azathioprine,6-mercaptopurine,Infliximab,Corticosteroids,A
Select the medicine for maintenance of remission in severe ulcerative colitis:,Mesalasine,Azathioprine,Systemic corticosteroids,Antibiotics,Probiotics,B
Indicate the most common gastrointestinal disorders in the general practice:,Gastric and duodenal ulcers,Liver diseases,Pancreatitis,Functional gastrointestinal disorders,Inflammatory bowel diseases,D
Select the organic or metabolic cause of functional dyspepsia:,Pancreatic disease,Liver disease,Medication use,No one,Diabetes mellitus,D
"Choose the class of drugs, from mentioned below, with lowest efficacy in inflammatory bowel disease:",Local corticosteroids,Systemic corticosteroids,Immunosuppressive agents,Biologic agents,Nonsteroidal antiinflammatory drugs,E
Select thewrong statement about normal stool in developed countries:,Weight of stool of an adult human is less than 200 g/d,Weight of stool of an adult human is more than 300 g/d,Stool water accounts for 60 to 85% of the weight,Normal bowel frequency may be three times a week,Normal bowel frequency may be three times a day,B
Indicate the correct definition of pseudodiarrhea:,Is an increased frequency of defecation without an increase in stool weight above normal,Is an increased weight of stool without an increase frequency of defecation,Is formally defined as an increase in daily stool weight above 200 g,Is formally defined as an abnormal increase in stool liquidity and frequency (>3 daily),Is the involuntary release of rectal contents,A
Select the correct definition of fecal incontinence:,Is an increased frequency of defecation,Is an increased weight of stool,Is an increased rectal elimination of mucus,Is an increased stool liquidity and frequency,Is the involuntary release of rectal contents,E
Select the correct duration for definition of chronic diarrhea:,More than 7 days,2-4 weeks,More than 4 weeks,More than 3 months,More than 6 months,C
Indicate the most often etiology of acute diarrhea:,Infectious agents,Toxins ingestions,Nonsteroidal antiinflammatory drugs,Antibiotics,Laxatives,A
