question,option_a,option_b,option_c,option_d,option_e,correct_answers
The presence of which of the following features is MOST helpful in distinguishing chronic from acute renal failure?,Anemia,Bilateral small kidneys,Hypocalcemia,Dilute urine with high urine sodium,Metabolic acidosis,B
The two leading causes of end-stage renal disease are:,Allergies and diabetes,Infection and diabetes,Diabetes and hypertension,Infection and hypertension,Diabetes and obesity,C
The leading genetic cause of end-stage renal disease is:,Diabetes mellitus,Alport syndrome,Autosomal dominant polycystic kidney disease,Autosomal recessive polycystic kidney disease,Hypertension,C
The leading cause of death among patients with end-stage renal disease is:,Uremia,Anemia,Liver failure,Cardiovascular complications,Sepsis,D
What stage of chronic kidney disease will have a patient with the glomerular filtration rate of 23 ml/min/1.73m2 according to the KDOQI classification?,1,2,3,4,5,D
Stage 4 and 5 of chronic kidney disease KDOQI may require the use of exogenous erythropoietin to manage:,Anemia,Neutropenia,Pancytopenia,Thrombocytopenia,Hypoproteinemia,A
"Which class of drugs reduce heart rate, cardiac output, peripheral vascular resistance and renin secretion?",Diuretics,β-blockers,α1-blockers,Calcium channel blockers,Angiotensin converting enzyme inhibitors,E
Uremia is described by which of the following statements:,The concentration of urea in plasma.,The concentration of urea in the blood.,High levels of uric acid in the blood.,High levels or creatinine in the blood.,It is a syndrome which results from the significant loss of renal function.,D
The leading cause of anemia in chronic kidney disease is:,The impaired production of erythropoietin,The presence of erythropoietin blockers,Hemolysis,Hemorrhage through the gastrointestinal tract,Insufficient levels of folic acid and vitamin B12,A
When the decrease of glomerular filtration rate is considered physiological?,In old people,During pregnancy,After intense physical activity,After ingesting large quantities of liquids,During a heat wave,A
Which of the following clauses are included in the definition of chronic kidney disease?,Glomerular filtration rate < 60 ml/min/1.73m2,Kidney damage defined by structural or functional abnormalities of the kidney,Age >70 years old,Blood urea nitrogen increased,The patient is undergoing a renal replacement therapy,"A,B,E"
In which of the following situations you can put the diagnosis of end-stage renal disease (chronic kidney disease stage 5 KDOQI or End Stage Kidney Disease)?,Glomerular filtration rate is <15 ml/min/1.73m2,Glomerular filtration rate is <25 ml/min/1.73m2,Glomerular filtration rate is <35 ml/min/1.73m2,Patient is undergoing chronic peritoneal dialysis,Patient is undergoing chronic hemodialysis,"A,D,E"
Which of the following are contraindications to renal transplantation?,Hypertension,HIV infection,Metastatic cancer,Age older than 50 years,Serious conditions that are unlikely to improve after renal transplantation,"C,E"
"In a typical, uncomplicated pregnancy, which of the following renal changes occur?",Increased glomerular filtration rate,Increased kidney size,Decreased renal plasma flow,Fewer urinary tract infections,Proteinuria up to 500 mg/day and glycosuria,"A,B,E"
Modifiable risk factors for progression of chronic kidney disease are:,Sex and low birth weight,Genetics,Proteinuria,High blood pressure,Hyperglycemia and obesity,"C,D,E"
Non-modifiable chronic kidney disease progression risk factors are:,Sex,Genetics,Proteinuria,Glycemia,Age,"A,B,E"
Which methods are used to determine glomerular filtration rate in clinical practice?,MDRD formula (Modification of Diet in Renal Disease),Cockcroft-Gault formula,CKD-EPI formula (Chronic Kidney Disease Epidemiology Collaboration),Estimating body mass index,The clearance of inulin,"A,B,C"
In the management of end-stage renal disease is included:,Peritoneal dialysis,Hemodialysis,Kidney transplant,Glucocorticoids administration,Insulin administration,"A,B,C"
Which of the following describe chronic kidney disease:,Increase of serum creatinine,Decrease of blood urea nitrogen,Hypokalemia,Anemia,Hyperkalemia,"A,D,E"
Which of the following are used for the management of anemia in chronic kidney disease?,Erythropoietin injections,Intravenous administration of iron,Administration of angiotensin-converting-enzyme inhibitors,Oral potassium administration,Administration of renin inhibitors,"A,B"
"To slow the progression of chronic kidney disease, it is important to:",Control blood pressure,Reduce proteinuria,Reduce protein intake,Parenteral administration of normal saline,Administration of nonsteroidal anti-inflammatory drugs,"A,B,C"
Which of the following drug classes are considered to protect the kidney?,Angiotensin-converting-enzyme inhibitors,Angiotensin II receptor blockers,"Dihydropiridine calcium channel blockers (such as Amlodipine, Nifedipine)",Alfa-blockers,"Nondihydropiridine calcium channel blockers (such as Verapamil, Diltiazem)","A,B,E"
To which level it is recommended to reduce protein intake in a patient with chronic kidney disease?,To 0.8 g/kg ideal weight per day + protein urinary loss,It is not recommended to reduce protein intake in patients with chronic kidney disease and severe malnutrition,To 1.5 g/kg ideal weight per day + protein urinary loss,To 2.0 g/kg ideal weight per day + protein urinary loss,To 3.0 g/kg ideal weight per day + protein urinary loss,"A,B"
What drugs are used for the treatment of anemia in chronic kidney disease?,Darbepoetin-α,C.E.R.A. – Continuous Erythropoietin Receptor Activator,Recombinant Human Erythropoietin (rHuEPO),Chelating agents,Angiotensin-converting-enzyme inhibitors,"A,B,C"
Which of the following are the principal recommendations to reduce the progression of chronic kidney disease?,Blood pressure control,Restriction of NaCl intake,Smoking cessation,Antiproteinuric therapy,Corticosteroids therapy,"A,B,C"
Which of the following measures are strongly recommended for reducing the progression of chronic kidney disease?,Management of blood pressure,Treatment with angiotensin-converting-enzyme inhibitors,Proteinuria reduction,Allopurinol therapy,Administration of nonsteroidal anti-inflammatory drugs,"A,B,C"
Which of the following are the most frequent metabolic consequences of uremia?,Increased insulinemia with frequent hypoglycemia,Impaired glucose tolerance and spontaneous hyperglycemia due to increased insulin resistance,The necessity of higher insulin doses,Hyperlipoproteinemia,Increased uric acid in urine,"A,B,D"
Which of the following are the most frequent respiratory manifestations in chronic kidney disease?,Kussmaul breathing,Cheyne-Stokes respiration,Uremic pleurisy,Uremic pneumonitis,Chronic obstructive pulmonary disease,"A,B,C"
Which of the following are the most frequent hematological manifestations in chronic kidney disease?,Normochromic anemia,Bleeding diathesis due to impaired platelets,Thrombocytopenia in end-stage renal disease,Leucopenia,Eosinophilia,"A,B,C"
Which of the following are the most frequent bone and mineral manifestations in chronic kidney disease?,"Osteitis fibrosa, due to hyperparathyroidism","Osteomalacia, due to defective mineralization","Adynamic bone disease, due to abnormally low bone turnover",Osteopenia or osteoporosis,"Kyphosis or lordosis, due to urea deposits in the intervertebral disk","A,B,D"
Which of the following are the most frequent neurological manifestations in chronic kidney disease?,Uremic encephalopathy,Peripheral neuropathy,"Ekbom syndrome, or the restless legs syndrome",Myasthenia gravis,Guillain-Barré syndrome,"A,B,C"
Which of the following are the most frequent gastrointestinal manifestations in chronic kidney disease?,Uremic halitosis,"Uremic gastritis associated with anorexia, epigastric tenderness, vomiting and ammoniac smell","Peptic ulcer, due to increased gastrin levels in blood",Mallory-Weiss syndrome,Achalasia,"A,B,C"
Which of the following lab results you will find in a patient with chronic kidney disease?,Increased blood creatinine,Increased blood urea nitrogen,Normochromic anemia,Decreased glomerular filtration rate,Hypokalemia,"A,B,C"
Which of the following electrolytic disorders you will most frequently find in a patient with chronic kidney disease?,Hypo- or hypernatremia,Hyperkalemia,Hypokalemia,Hypocalcaemia,Hypophosphatemia,"A,B,E"
Which of the following drugs are considered phosphate chelating agents (phosphate binders)?,Calcium salts,Aluminum salts,Sevelamer,Statins,Sartans,"A,B,C"
Which of the following should be carried out before initializing chronic hemodialysis?,Getting a vascular access,Psychological counseling,"Diet modification for a balanced intake of proteins, calories, vitamins and minerals",Hyperkalemia management,Reducing hypophosphatemia,"A,B,C"
Vascular access for hemodialysis can be achieved through:,Arterio-venous fistula,Arterio-venous graft,Central venous catheter,Swan-Ganz catheter,Foley catheter,"A,B,C"
Which of the following are criteria for definition of chronic kidney disease?,"Glomerular filtration rate <60 ml/min/1.73 m2 for ≥3 months, with or without kidney damage","Kidney damage for ≥3 months, as defined by structural or functional abnormalities of the kidney","The presence of markers of kidney damage, including abnormalities in the composition of blood or urine, or abnormalities in imaging tests","Glomerular filtration rate <90 ml/min/1.73 m2 for ≥3 months, with or without kidney damage",Congenital malformation without impaired renal function,"A,B,C"
Which of the following groups of patients have an increased risk to develop chronic kidney disease?,Patients with diabetes mellitus,Patients with high blood pressure,Patients with systemic diseases like systemic lupus erythematosus,Patients that have relatives with renal diseases,Patients with seronegative spondylitis,"A,B,C"
Which of the following are the screening methods of patients with chronic kidney disease?,Assessing the levels of urea and serum creatinine,Estimation of glomerular filtration rate,Renal ultrasound,Assessing the levels of erythropoietin,Measuring A1C hemoglobin,"A,B,C"
"For a correct diagnosis of chronic kidney disease, it is necessary to:",Identify the nephropathy,Determine the stage of the chronic kidney disease using KDOQI classification,Assess the levels of thyroid hormones,Perform a skull X-ray,Perform a renal ultrasound,"A,B,E"
