question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. CM. The following signs and symptoms should be reported immediately as a potential danger signal in a pregnant woman:,vaginal bleeding,severe headache,swelling of the ankles and feet,blurring of vision,constipation,"A,B,D"
2. CM. Preterm labor is important because it commonly results in death of the infant due to:,abruptio placentae,birth trauma,jaundice,hyaline membranes disease,periventricular hemorrhages,"D,E"
3. CM. The following congenital anomalies are associated with increased quantities of amniotic fluid:,duodenal atresia,anencephaly,renal agenesis,spina bifida,urethral hypospadias,"A,B,D"
4. CM. It is important to treat patients with asymptomatic bacteriuria in pregnancy because:,the patient is seriously ill,one third will develop septic shock during pregnancy,one third will develop cystitis during pregnancy,one third will develop acute pyelonephritis during pregnancy,it increases risk of preterm birth,"D,E"
5. CM. What antibiotics are contraindicated in pregnancy,tetraciclin,ampicilin,levomicetine,penicilline,cefasoline,"A,C"
6. CM. What can be used for pregnancy dating:,last menstrual period,ultrasound examination,the first movement of fetus,palpation of uterus in early pregnancy,palpation of uterus in the third trimester,"A,B,C,D"
7. CM. Choose the correct statements regarding chorioamnionitis:,it causes all cases of preterm labor,it usually follows preterm rupture of membranes,should be treated with combination of antibiotics,it only occurs in patients with vaginitis,the most frequent sign is backache,"B,C"
8. CM. Which complications are common if diabetes is not well controlled?,fetal macrosomia,preeclampsia,oligohydramnios,polihydramnios,premature delivery,"A,B,D"
9. CM. Clinical criteria of chorioamnionitis include:,headache and backache,vaginal bleeding,fetal tachycardia,purulent vaginal discharge,fever more than 38C,"C,D,E"
10. CM. Which patients are at high risk of preterm labor?,patients who book early in pregnancy,patents with twin pregnancy,patients living in low socio-economic circumstances,patients with bacterial vaginosis,patients with a history of preterm labor in previous pregnancy,"B,C,D,E"
11. CM. Which of the following are at high risk of cord prolapse?,a patient with breech presentation,a patient with cephalic presentation,a patient with a post term pregnancy,a patient who ruptures her membranes when the fetal head is still palpable 4/5 of the pelvic brim,a patient with severe polyhidramnios,"A,D,E"
12. CM. Management of patient with premature prelabor rupture of membranes include:,bimanual exploration of the cervix,prophylactic administration of antibiotics,administration of corticosteroids,transfer to a maternity with neonatological intensive care unit,estimation of gestational age as accurate as possible,"B,C,D,E"
13. CM. Normal maternal adjustments in pregnancy include:,rise in cardiac output,hemodilution,decrease of diastolic pressure,increase in plasma volume,decrease in red blood cell mass,"A,B,C,D"
14. CM. The causes of oligohydramnios are:,fetal growth retardation,renal agenesis,preeclampsia,neural tube defects,prelabor rupture of membranes,"A,B,C,E"
15. CM. The causes of polyhydramnios are:,maternal diabetes,absence of esophagus,neural tube defects,preeclampsia,renal agenesis,"A,B,C"
16. CM. The fetus with postmaturity syndrome has the following:,loss of subcutaneous fat,short fingernails,"dry, peeling skin",long fingernails,abundant vernix caseosa,"A,C,D"
17. CM. Indications for a cesarean section include:,previous cesarean section,placenta previa,fetal distress,cervical cerclage,cord prolapse,"A,B,C,E"
18. CM. What is indicated for prevention of respiratory distress syndrome in premature neonates:,heparin,oxitocin,dexamethasone,magnesium sulphate,betamethasone,"C,E"
19. CM. Which of the circumstances increases the risk of a multiple pregnancy:,family history of  multiple pregnancy,primiparity,induction of ovulation with clomiphen citrate,maternal age more than 30 years,in vitro fertilization,"A,C,E"
20. CM. Progesterone in pregnancy is produced in:,posterior hypophysis,corpus luteum,adrenal gland,placenta,adenohypophysis,"B,D"
21. CM. Select correct statements regarding premature delivery:,pregnancy term  22-37 weeks,weight of the newborn 500 - 2500 g,pregnancy term  28-37 weeks,length of the newborn  25 - 45 cm,length of the newborn 25 - 49 cm,"A,B,D"
22. CM. In which situations labor induction is contraindicated:,previous cesarean section,transversal lay,preeclampsia,estimated fetal weight more than 4500 gr,postdate pregnancy,"A,B,D"
23. CM. Risk of what complications is increased in multiple pregnancy:,polyhydramnios,fetal growth restriction,macrosomia,postpartum hemorrhages,prematurity,"A,B,D,E"
24. CM. Ultrasound criteria of the oligoamnios are:,determination of an maximum vertical sac less than 2 cm,determination of an vertical sac less than 5 cm,amniotic liquid index less than 5 cm,amniotic liquid index less than 7 cm,amniotic liquid index less than 10 cm,"A,C"
25. CM. What are the components of Apgar score,frequency of respiration,fetal heart rate,fetal weight,muscular tonus,skin color,"A,B,D,E"
26. CM. Which dimensions of the pelvis can be appreciated through external pelviometry :,bispinarum distance,diagonal conjugate,bitrochanteric distance,bicristarum distance,external conjugate,"A,C,D,E"
27. CM. The newborn status is determined by:,Apgar score,Vitlingher scale,Silverman score,Glasgow scale,Boshop score,"A,C"
28. CM. Which of the following are risk factors for uterus rupture?,threatened preterm labor,transversal situs of the fetus,previous cesarean section,hydramnios,contracted pelvis,"B,C,E"
29. CM. What complications are caused by infections during pregnancy:,postpartum hemorrhages,fetal malformations,preterm deliveries,early neonatal sepsis,placenta previa,"B,C,D"
30. CM. What statements are correct regarding management of prelabor preterm rupture of membranes:,Corticosteroids are contraindicated because of increased risk of infection,prophylactic antibiotic of choice is Eritromicine,broad spectrum antibiotics are the best option,immediate induction of labor improve perinatal outcomes,expectant management decrease perinatal mortality and morbidity,"B,E"
31. CM. The aim of routine USG exam at 18-20 weeks of gestation is to determine:,gestational age of pregnancy,fetal lay and presentation,localization of placenta,biophysical profile,congenital anomalies of the fetus,"A,C,E"
32. CM. Indications for selective ultrasound exam after 21 weeks of gestation are:,diabetes,placenta previa,suspected fetal growth restriction,vaginal hemorrhage,maternal age >30 years,"A,B,C,D"
33. CS. Protective bacterium in normal vagina is:,Peptostreptococcus,Lactobacillus,Gardenella vaginalis,coli,Candida,B
"34. CS. According to WHO, anemia in pregnancy is diagnosed, when hemoglobin is less than:",10.0gm%,11.0gm%,12.0gm%,9.0gm%,8.0 gm%,B
35. CS. Which of the following is most sensitive for the detection of iron in pregnancy:,serum iron,serum ferritin,serum transferrin,serum iron bending capacity,iron excretion rate,B
"36. CS. In pregnancy, which type of anemia is less common ?",vitamin B12 anemia,folic acid anemia,iron + folic acid anemia,iron deficiency anemia,hemolytic anemia,A
37. CS. Most common cause of maternal anemia in pregnancy:,acute blood loss,iron deficiency,gastro-intestinal blood loss,hemolytic anemia,thalassemia,B
38. CM. Placenta previa is characterized by following:,painless bleeding,causeless bleeding,recurrent bleeding,presents after first trimester,often bleeding starts mildly,"A,B,C,E"
39. CS. A primigravida at 37 week of gestation admitted to labour room with central placenta previa with heavy bleeding per vaginum. The fetal heart rate was normal at the next time of examination. The best management option for her is:,expectant management,cesarean section,induction and vaginal delivery,induction and forceps delivery,blood transfusion,B
40. CM. In which situations expectant management of placenta previa before 34 weeks of pregnancy is contraindicated?,evidence of fetal distress,fetal malformations,mother in a hemodynamically stable condition,women in labour,dead baby,"A,B,D,E"
41. CM. In placenta previa expectant management is not done in case of:,active labour,anencephaly,dead baby,severe placenta previa,premature fetus,"A,B,C,D"
42. CM. Termination of pregnancy in placenta previa is indicated in:,active bleeding,active labour,gestational age < 34 weeks with live fetus,sévère fetal malformation,unstable lie,"A,B,D"
43. CS. All the following are indications for termination of pregnancy in antepartum hemorrhage  EXCEPT  :,> 37 weeks,dic syndrom,transverse lie,continuous bleeding,fetal distress,C
44. CM. Savita is a 32 weeks pregnant woman diagnosed with severe antepartum hemorrhage. Vitals are unstable with BP 80/60. Which of the following are next steps in management?,careful observation,blood transfusion,medical induction of labour,immediate cesarean section,expectant management,"B,D"
45. CS. A 32 weeks pregnant woman presents with mild uterine contractions and on examination her vitals are stable and placenta previa is present. Best management is:,bed rest + dexamethasone,bed rest + nifedipine and dexamethasone,bed rest + sedation,immediate cesarean section,careful observation,B
"46. CS. A hypertensive pregnant woman at 34 weeks comes with history of abdominal pain, vaginal bleeding and loss of fetal movements. On examination the uterus is hard (increased tonus). Fetal heart sounds are absent. The most likely diagnosis is:",placenta previa,hydramnios,premature labour,abruptio placenta,active labour,D
47. CM. What conditions can cause DIC during pregnancy?,diabetes mellitus,amniotic fluid embolism,intrauterine death,abruptio placenta,coagulation disorders,"B,C,D,E"
48. CS. Which of the following is not used in DIC?,fresh frozen plasma,epsilon amino caproic acid,blood transfusion,intravenous fluids,cryoprecipitate,B
"49. CS. An elderly multiparous woman was admitted with strong labour pains. The patient suddenly goes in shock with cyanosis, respiratory disturbances and pulmonary edema. The most likely clinical diagnosis is:",rupture of uterus,congestive heart failure,amniotic fluid embolism,concealed hemorrhage after trauma,stroke,C
50. CS. After how many days of ovulation embryo implantation occurs?,3-5 days,7-9 days,10-12 days,13-15 days,>15 days,B
51. CM. What is true about CIN :,premalignant lesion,hpv predisposes,pap smear can detect it,malignant lesion,occurs at squamo-columnar junction,"A,B,C,E"
52. CS. In a cervix low grade squamous intraepithelial lesion (LSIL) in Bethesda system includes:,CIN I,CIN II,CIN III,squamous metaplasia,carcinoma in situ (CIS),A
53. CM. Cone biopsy is indicated in the following conditions:,indefinite diagnosis on colposcopy,CIN-III,cervical metaplasia,microinvasive carcinoma,cervical erosion (ectopy),"A,B,D"
54. CS. Treatment of choice of stage III CIN in 40-year-old female is:,hysterectomy,laser coagulation,cryocoagulation,cone excision,repeat pap smear after 6 months,A
