question,option_a,option_b,option_c,option_d,option_e,correct_answers
Pulmonology and allergology,45-60 mm Hg,25 - 30 mm Hg,60 - 100 mm Hg,100 - 120 mm Hg,60 - 120 mmHg,B
CS from the following the mechanism of pulmonary hypertension in splenectomised patients:,increased life of red blood cells and platelet activity,inhibition of K+ channel,increased cardiac output,decreased cardiac output,portal hypertension,A
"CS According to the functional classification, second class of PAH corresponds to the following statement:","slight limitation of exercise capacity. No symptoms at rest and ordinary physical activity causes symptoms (dyspnea, chest pain, presyncope, fatigue)",there is no limitation of exercise capacity. Ordinary physical activity does not cause symptoms,marked limitation of exercise capacity. No symptoms at rest and less than ordinary physical activity causes symptoms,"inability to perform physical activity. They may have symptoms at rest, increased by minimal effort",none of the above,A
CS Select the range of moderate PAH:,25-40 mm Hg,41-75 mm Hg,76-110 mm Hg,> 110 mm Hg,None of the above,B
CS Mild PAH has the following values:,25-40 mm Hg,41-75 mm Hg,76-110 mm Hg,> 110 mm Hg,> 130 mm Hg,A
CS Severe PAH has the following values:,25-40 mm Hg,41-75 mm Hg,76-110 mm Hg,> 110 mm Hg,> 15 mm Hg,C
CS Very severe PAH has the following values:,25-40 >110 mm Hg,41-75 >110 mm Hg,76-110 >110 mm Hg,>110 mm Hg,> 15,D
CS Select the method of choice that helps to exclude pulmonary thromboembolism:,chest radiograph,EchoCG,Electrocardiography,pulmonary scintigraphy,ultrasound examination,D
CS Pulmonary angiography in PAH is indicated in patients with:,pulmonary edema,suspected PAH in chronic thromboembolism,interstitial pulmonary fibrosis,bronchiectasis,arterio-venous shunt,B
CS The SaO2 value indicating necessity in oxygen therapy is:,less than 99%,less than 95%,less than 90%,<70%,<60%,C
CS Causes of cor pulmonale are:,COPD,Idiopathic pulmonary fibrosis,Bronchial Asthma,idiopathic pulmonary hypertension,all of the listed,E
CM Lung diseases cause PAH through the following mechanisms:,ischemia,hypoxia,inflammation,bronchial obstruction,loss of pulmonary vessels,"B,C,E"
CM What are the mechanisms by which pulmonary hypertension induce portal hypertension:,increased lung flow secondary to increased cardiac output,increasing the friction forces,vascular remodeling,decreased cardiac output,hypertension,"A,B,C"
CM Classic symptoms of PAH are:,dyspnea,angina-like chest pain,syncope with exercise,hemoptysis,fatigue,"A,B,C"
CM Right ventricular failure is reflected by:,increased central venous pressure,increased central arterial pressure,ascites,peripheral edema,pulmonary edema,"A,C,D"
CM The differential diagnosis of PAH includes the following:,systemic hypertension,left heart failure,left atrial myxoma,pulmonary artery stenosis,mitral,"B,C,D"
CM The conventional treatment of PAH include:,oxygen,cardiac glycoside agents,diuretic agents,anticoagulation,nitrates,"A,B,C,D"
"CM Non-conventional treatment in PAH group 1 (idiopathic PAH, familial due to diseases affecting the muscular pulmonary arteries includes administration of:",calcium antagonists,prostacyclines,endothelin receptor antagonists,phosphodiesterase inhibitors,nitrate,"A,B,C,D"
CM Treatment for thromboembolic pulmonary hypertension includes:,long term anticoagulation,trombarterectomy,oxygen therapy,angiotensin-converting enzyme inhibitors,beta blockers,"A,B"
CM Diagnostic criteria for cor pulmonale are:,PAH proven by any method,proven right ventricular hypertrophy,dilated right ventricle confirmed by imaging methods,clinical signs of right ventricular dysfunction,systolic pulmonary outbreaks,"A,B,C,D"
CM Obstructive pulmonary diseases causing cor pulmonale are:,hypercapnia,hypoxemia,hypocapnia,respiratory alkalosis,none of the mentioned,"A,B,C,D"
CM Impaired respiratory center causes:,hypoventilation,respiratory acidosis,hypocapnia,hypoxemia,pulmonary hypertension,"A,B,D,E"
CM Complications of cor pulmonale are:,pulmonary thromboembolism,myocardial infarction,arrhythmias,relative tricuspid insufficiency,tricuspid stenosis,"A,C,D"
CM Treatment options for cor pulmonale are:,diuretics,digitalics,antileukotriens,corticosteroids,phlebotomies,"A,B,E"
CM Methods for evaluation of pulmonary hypertension are:,measurement of central venous pressure,ECG,pulmonary artery catheterization,measurement of right ventricular pressure,EchoCG,"A,C,D,E"
ASTHMA,a long history of coughing,prolonged wheezing past,complete reversibility of bronchial obstruction after bronchodilator therapy,onset of cough with expectoration,the presence of mucopurulent sputum,C
"CS In a patient with asthma, marked chest hyperinflation, involvement of accessory muscles and the presence of a pulsus paradoxus suggest:",severe airway obstruction,usual asthma attack,pneumonia,pulmonary embolism,an overimposed infection,A
CS Drugs most commonly associated with the induction of asthma attacks are:,ACE inhibitors,NSAIDs,calcium blockers,beta-lactam antibiotics,corticosteroids,B
CS Select the typical clinical finding on examination of a patient during asthma attack:,wheezing,sweating,nasal and conjunctival hypersecretion,distended neck veins,bradyarrhythmias,A
CS The diagnosis of asthma is based on:,reversible airway obstruction,positive skin tests to different allergens,blood eosinophilia,sputum eosinophilia,increased IgE in serum,A
CS  Sodium cromoglycate is used in the treatment of asthma because of its ability to:,stabilize the mast cell membranes,cause bronchodilatation,induce anti-infective protection,facilitate expectoration,loosen mucus,A
CS Treatment of choice for intermittent asthma include:,inhaled beta-agonists to relief symptoms,long-acting inhaled beta-agonists,long term inhaled corticosteroids,"long term administration of beta-agonists, corticosteroids and mast cell stabilizers",long term administration of oral corticosteroids,A
CS Airway reversibility is conventionally defined as an increase of FEV1 after inhaling a beta agonist with:,<5%,5% - 10%,<10%,10% - 15%,> 15% and 200ml,E
CS The most effective treatment for asthma attacks includes:,mast cell stabilizers,inhaled corticosteroids,anti-cholinergic medication,oral corticosteroids,inhaled beta-2-agonists,E
CS Anti-cholinergics used in the treatment of asthma have the following disadvantages:,slow action - in 60-90 minutes,cause tachycardia,only parenteral use,liver toxicity,contraindicated in preexisting renal disease,A
