question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. Which of the following statements is correct when prescribing a NSAID in patients with rheumatic diseases:,Two NSAIDS can be prescribed simultaneously,Intravenous administration of a NSAID helps to avoid gastrointestinal toxicity,A NSAID can be prescribed to a patient receiving oral anticoagulants,Allergy to a NSAID class excludes the possibility to prescribe a NSAID form another class,"To avoid adverse reactions, a NSAID has to be prescribed in a minimally efficient dose and duration",E
2. Symptomatic treatment of psoriatic arthritis includes:,Clarithromycin,NSAIDS,Benzatinbenzylpenicillin,D-penicilamine,Methotrexate,B
3. What rheumatic disease presents with arthritis mutilans?,Systemic lupus erythematosus,Rheumatoid arthritis,Reactive arthritis,Psoriatic arthritis,Gout,D
4. The CASPAR diagnostic criteria are used for the diagnosis of:,Rheumatoid arthritis,Psoriatic arthritis,Systemic lupus erythematosus,Reactive arthritis,Gout,B
"5. Osteolytic lesions of phalanges and metacarpophalangeal joints with the aspect of “telescoped” fingers, are characteristic for:",Systemic lupus erythematosus,Rheumatoid arthritis,Reactive arthritis,Psoriatic arthritis,Gout,D
6. Axial involvement in psoriatic arthritis is characterized by:,Unilateral/ asymmetric sacroiliitis,Symmetric sacroiliitis,Atlanto-occipital involvement,Sacroiliac joints are not involved,The spinal column is involved uniformly,A
7. Psoriatic onichodystrophy can manifest as:,Pitting (punctiform erosion),Solid fusion,Fungal infections,Progressive fissuration,Nail hemorrhages,A
"8. Distal interphalangeal joint osteolysis, extended skin lesions and nail dystrophy suggest the diagnosis of:",Systemic lupus erythematosus,Gout,Psoriatic arthritis,Osteoarthritis,Rheumatoid arthritis,C
9. Which criterion is NOT used for the diagnosis of psoriatic arthritis?,Negative rheumatoid factor,Dactylitis,Radiological proof of juxtaarticular new bone formation,Positive anti-CCP antibodies,Personal or family history of psoriasis,D
10. Management of psoriatic arthritis includes:,Antibiotic administration,Hemodialysis,Immune suppressive treatment,Antiviral treatment,Immune stimulatory treatment,C
21. Which of the following classes of NSAIDs are recommended for patients with psoriatic arthritis?,Coxibs,Salicylates,Pyrazoles,Indols,Oxicams,"A,E"
22. In which of the following rheumatological diseases immune suppressive treatment is considered obligatory:,Psoriatic arthritis,Gout,Rheumatoid arthritis,Osteoarthritis,Bursitis,"A,C"
