question,option_a,option_b,option_c,option_d,option_e,correct_answers
CS Select the most suggestive sign in the diagnosis of acute appendicitis:,The Dieulafoy triad,The Kocher sign,The Bartomier-Michelson sign,The Sitkovsky sign,The Blumberg sign,A
"CS Which layer of appendiceal wall contains a large number of lymphatic follicles, the reason why the appendix is called “abdominal tonsil”:",The mucosal layer,The submucosal layer,The muscular layer,The serous layer,All answers are correct.,B
CS Select the correct answer regarding the treatment of appendiceal mass (infiltrate) in the stage of infiltration:,Conservative,Surgical,Medical-surgical,Physiotherapy,All answers are correct.,A
CS Select the preferred access path for the Douglas pouch abscess:,Rectotomy (transrectal),Subumbilical laparotomy,Laparotomy in the right iliac fossa,Supra- and subumbilical laparotomy,Kocher laparotomy,A
CS The Blumberg maneuver in acute appendicitis is described as:,Pain caused by palpation in the right iliac fossa,Pain in the right iliac fossa at the extension of the body,Pain in the right iliac fossa during rectal exam,Pain at sudden decompression in the right iliac fossa (rebound tenderness),Pain in the right iliac fossa at palpation with flexion of the right lower limb.,D
CS The Kocher sign for acute appendicitis describes the onset of pain in:,The right iliac fossa,The epigastrium,Over the whole abdominal area,The left iliac fossa,The hypogastrium,B
"CS A tensed, dilated appendix with matte serosa and infiltrated mesentery is consistent with:",Catarrhal acute appendicitis,Phlegmonous acute appendicitis,Chronic appendicitis,Gangrenous acute appendicitis,Perforated acute appendicitis,B
CS Select the main functional sign in acute appendicitis:,Abdominal pain,Loss of appetite,Nausea,Vomiting,Alteration of intestinal transit,A
"CS The following statements about the incidence of acute appendicitis are true, EXCEPT:",It’s the most common abdominal emergency,The incidence is higher in the elderly,During puberty and adolescence women appear to be more affected,Incidence is lower in newborns and infants,The maximum incidence is seen in the first 3 decades of life,B
CS Select the correct statement about the treatment in the stage of infiltration of the appendiceal mass:,"Conservative treatment (ice pack, diet, antibiotics, physiotherapy)",Surgical treatment in young people,Surgical treatment in elderly,Surgical treatment when the process is located in the pelvis,Surgical treatment if caecum cancer cannot be excluded clinically,A
CM Select the optimal treatment options for the appendiceal mass with confirmed abscess:,"Conservative therapy, including antibiotics and physiotherapy",Extraperitoneal drainage of the abscess (Pirogov incision),Ultrasound/CT guided drainage of the abscess,Drainage of the abscess through inferior median laparotomy,Drainage of the abscess through McBurney’s oblique incision,"A,B,C"
CM Select the clinical and paraclinical parameters for monitoring of the appendiceal mass evolution:,Thermometry,Leukocytosis evolution,Dynamic determination of alkaline phosphatase,Repeated abdominal ultrasound,The evolution of the inflammatory mass dimensions,"A,B,D,E"
CM Select the clinical features at the onset of acute appendicitis:,Fever and vomiting anticipate the abdominal pain,Vomiting occurring shortly after abdominal pain onset,Nausea appears after abdominal pain,Abdominal bloating,Diarrhea in some cases,"B,C,D,E"
CM Select the borders of the Iacobovici triangle:,Linia bispinalis,The median subumbilical line,The external edge of the rectus abdominis muscle,The right external third of the linia bispinalis,The right spino-umbilical line,"A,C,E"
CM Select the correct statements about acute appendicitis in an inguinal hernial sac:,The appendix is detected in the inguinal hernial sac,Simulates a strangulated hernia,Is named Littre hernia,Can lead to the phlegmon of the hernial sac,Is named Amyand hernia,"A,B,D,E"
CM The appendiceal mass (infiltrate) can be manifested by the following signs:,Painless formation in the right iliac fossa,Alteration of the general condition accompanied by diarrhea,Pain on palpation in the right iliac fossa,The presence of fluctuation in the right iliac fossa,Painful mass with irregular margins located in the right iliac fossa,"C,E"
CM Select the symptoms which correspond to acute appendicitis?,Epigastric pain,Spontaneous pain and tenderness on palpation in the right iliac fossa,Nausea and vomiting,Diffuse spastic abdominal pain,Repeated diarrhea that ease the condition of the patient,"A,B,C"
CM In confirmed acute appendicitis the following manipulations are required:,Laxative medication,Enema,Broad spectrum antibiotics,Surgical intervention,Laparoscopic appendectomy,"C,D,E"
CM Generalized peritonitis of appendiceal origin is characterized by:,Alteration of the general condition,Altered bowel habits,Fever,Leukocytosis 15-20.000,Abdominal pain with posterior referral,"A,B,C,D"
CM Select the clinical signs of acute appendicitis in adults at the onset of the disease:,Pain in the right iliac fossa,Early inappetence,Fever > 39°C,Dry tongue with white deposits,Arrest of bowel transit,"A,B,D"
CM Choose the possible evolution variants of the appendiceal mass (infiltrate):,Double stage generalized peritonitis,Favorable after medical treatment,Abscess formation,Always regresses spontaneously,Fistulization,"A,B,C,E"
CM Select the morphopathological variants of acute appendicitis:,Catarrhal,Toxic,Gangrenous,Phlegmonous,Cystic,"A,C,D"
CM Acute appendicitis in children should be differentiated with:,Acute gastroenteritis,Mesenteric lymhadenitis,Intestinal intussusception,Omphalocele,Urinary infection,"A,B,C,E"
CM Select the position variants of the vermiform appendix:,Retrocaecal,Mesoceliac,Retrogastric,Pelvic,Juxta pancreatic,"A,B,D"
CM Select the clinical signs of the appendiceal mass in the infiltration phase:,Leukocytosis,Painful mass with diffuse margins that appears 3-5 days after the onset of the disease,Positive Blumberg sign in the right iliac fossa,Fluctuation in the right iliac fossa,Fever,"B,C,E"
CS Which of following statements fits direct inguinal hernia:,It never descends to the scrotum,It is congenital,It's more often unilateral,It strangulates frequently,It is an effort hernia,A
CS The strangulation of Meckel`s diverticulum is named hernia:,Riсhter,Maydl,Littre,Hesselbach,Broсk,C
CS The posterior wall of the inguinal canal is represented by:,Transversalis fascia,Internal oblique muscle,Conjoint tendon,Arcada cruralis,External oblique muscle,A
CS Hernia with parietal antimesenteric strangulation is named:,Broсk,Hesselbach,Maydl,Riсhter,Littre,D
"CS In case of typical femoral hernia, the neck of the hernial sac is situated",Anterior to the arcada cruralis,Medial to the femoral vessels,Lateral to the femoral vessels,Posterior to the femoral vessels,Medial to the Cooper ligament,B
CS Select the hernia in which the hernial sac is missing:,Congenital inguinal hernia,Umbilical hernia,Sliding inguinal hernia,Perineal hernia,Post-traumatic diaphragmal hernia,E
CS Which procedures of  plasty  provides for reinforcement of the posterior wall of the inguinal canal in case of femoral hernia?,Rudji,Postempsky,Rudji-Parlavecchio,Lexer,Bassini,C
CS  The more preferable method of plasty in case of  umbilical hernias in children with herniar ring up to 3 cm is:,Mayo,Bassini,Sapejko,Lexer,Martynov,D
"CS  The famous words ` In every case of intestinal occlusion, the herniar gates must be examined for strangulated hernias` are said by:",Iudin,Spasokukotsky,Kukudjanov,Mondor,Bassini,D
CS Which wall of the inguinal canal is consolidated by using the Lichtenstein alloplasty in the treatement of inguinal hernia?:,Anterior,Posterior,Superior,Inferior,Lateral,B
CM  In the ischemic stage of a strangulated hernia the following signs are found:,Cyanotic and dilated  afferent loop,The thrombosis of the mezo veins,Thickened  wall of the intestine with fake membranes on serous,"There is a purulent, faecal fluid in the herniar sack",Pale efferent ansa,"A,B,C,E"
CM Pseudostrangulation at a herniar carrier is manifested in the following situations:,Acute gangrenous cholecystitis with diffuse peritonitis,Pseudotumoral pancreatitis,Perforated gastroduodenal ulcer,Acute appendicitis with perforation,Atypical perforation of duodenal ulcer,"A,C,E"
CM Conservative treatment of the hernia (bandage) is indicated in:,In case of categorically refuse  of the pacient to surgery,In reponible hernia,When surgery is contraindicated,In irreducible hernia,In case of strangulated inguinal hernia in old pacient,"A,C,D"
CM Select the correct afirmations about obliquie inguinal hernia:,The herniar sac can extend to the scrotum,The sac can extend antero-medial to the spermatic cord,The sac is  medial to  the inferior epigastric vessels,The sac can extend lateral to the spermatic cord,Direct hernia is more often bilateral than obliquie,"A,C"
CM  Select the correct affirmations about left  inguinal hernia by cleavage:,Herniar gates are big,Contains  only small bowel,The sigmoid colon is a wall of the herniar sac,It never strangulates,It is accompanied by disturbance of the micturition,"A,D,E"
CM  Indicate the  possible complications of the hernia:,Coprostase,Prostatitis,Strangulation,Phlegmon of the herniar sack,Irreductability,"A,E"
"CM  In strangulated Richter hernia, we establish:",Intestinal transit is present,Vomiting,An irreducible tumor at that level,The intestinal transit is stopped,Fever on debut,"B,D"
CM Which organs  herniates more often:,Urinary bladder,Epiploon,The ascendent colon,Small bowel,Prostate,"A,C"
CM  The pain in case of reducible hernia is:,Painful embarrassment,Violent,Colicative,Is increased by  physical effort,Can be absent,"A,C"
CM Lichtenstein alloplasty is used in the treatment of following hernias:,Umbilical,Femoral,Inguinal,Linea alba hernia,Posttraumatic diaphragmal hernia,"A,C,D,E"
CM  The internal  orifice of the femoral canal is delimited by:,Femoral Vein,Cooper Ligament,Gimbernati Ligament,Poupart Ligament,Umbilical ligament is medial,"A,C"
CS  Pain in bowel obstruction by strangulation can be:,"Continuous, strong, dramatic",Colicative,Just a feeling of weak  diffuse pain,Intermittent,Is not specific,A
CS  The Schlange sign in intestinal occlusion is characterize by:,The presence of the sloshing above the distended ansa,The noise of the drop falling,Pronounced timpanism above the asymmetry,The presence of the empty and enlarged rectal ampulla,"The presence of the hyperperistaltism, which can be heared  from the distance",E
"CS   On the debut of the intestinal occlusion, a radiological image with generalized distension of the intestinal loops, without hydroaeric images is characteristic for :",Dynamic intestinal occlusion,Sigmoid volvulus,Strangulated inguinal hernia,Bouveret sindrom,The occlusion in caecum cancer,A
CS The Sklearov sign in intestinal occlusion is characterized by:,Pronounced timpanism above the asymmetry,Elastic resistance of the abdominal wall,Asymmetric bloating of the abdomen,The presence of the sloshing above the distended ansa,The noise of drop falling,D
"CS  Which type of dynamic ileus is present in case of vertebral fractures, retroperitoneal haematomas:",Toxic,Reflexogen,Metabolic,Neurogenic,Spastic,B
CS  After devolvulation of the small intestine the  necrosis of a segment of the ileum was revealed. The limit of resection in cranial direction (afferent loop) will pass the visible mark of necrosis with:,,,,,,D
CS  Which of the following is the most common cause of the intestinal occlusion in old people:,Faecaloms,Left colon neoplasms,Invagination,Right colon neoplasms,Small bowel volvulus,A
CS. The Meckel diverticulum can cause the following type of intestinal occlusion:,Dynamic occlusion,Sigmoid volvulus,Bile ileus,Mechanic intestinal occlusion,Low intestinal occlusion,B
"CM Being a low intestinal occlusion, sigmoid volvulus:",Is frequently preceded by cramps  or sub-occlusive crisis,Has a suddenly debut with pain in left iliac fose and abdominal distension,The intestinal transit is stopped on the debut,The radiological image presents an aerial  image with a `bicycle tire` aspect,Cause frequent vomiting,D
CM Which of following can cause a paralytic ileus?,Fitobezoar,Nephritic colic,Peritonitis,Sigmoid volvulus,Retroperitoneal abscess,"A,B,D,E"
CM In the intestinal occlusion the gases accumulate in the intestinal lumen:,70% of the swallowed air,100%  from fermentation processes of the microbial flora and biochemical reactions of the digestive juices,70%   from fermentation processes of the microbial flora,30% from biochemical reactions of the digestive juices,30%  from fermentation processes of the microbial flora and biochemical reactions of the digestive juices,"A,B,C,E"
"CM  In low intestinal occlusion caused by adenocarcinoma, the radiological image is represented by:","""Niche"" aspect",Filling defect,`Bite apple` aspect,The presence of hydroaeric images,Stenozation of intestinal lumen,"A,E"
CM The positive diagnostic in mechanical intestinal occlusion are based on:,Clinical signs,Radiological signs,Ultrasound signs,The pathological history of the patient,Mezenteric angiography,"A,B,D"
"CM In case of intestinal occlusion, the simple abdominal radiography highlights:",Gazeous distension of intestinal loops,Hydroaeric images,Filling defect,Narrowing of the intestinal lumen,Semilunar folds,"B,C,D"
CM. Irrigoscopy can take a therapeutic role in case of:,Sigmoid cancer,Ileocaecal invagination in child,Voluminous strangulated inguinoscrotal hernia,Sigmoid volvulus,Rectal atresia in child,"B,C,E"
CM  The clinical diagnostic of precocious high intestinal occlusion is based on:,The muscle  contracture of the abdominal wall,Colicative abdominal pain,Nausea and vomiting,Positive Blumberg sign,Interruption of the intestinal transit  from early hours of the disease,"A,E"
CM . Select the correct statements for intestinal occlusion caused by colon cancer:,The frequency of the right colon cancer is higher  than left colon cancer frequency,Sudden onset with frequent vomiting,The `Gold standart` for the diagnostic is Endoscopic emergency examination.,Asymmetric abdominal distension,"History of weight loss, cramps , diarrhea","A,B,D"
CM  Which of the following affirmations are able to describe the ethiopathogeny of the intestinal occlusion?,Dynamic or functional occlusions have multiple causes that produce the sympathetic- parasympathetic imbalances,Craniocerebral trauma can generate intestinal occlusions,Professional poisoning can generate dynamic intestinal occlusions,Extrinsic compression cannot produce intestinal occlusion,Occlusions by strangulation also interest vascularization of the affected segment,"B,C,D,E"
CS Indicate the clinical sign characteristic for obstructive biliary lithiasis:,High fever,Vomiting,Constipation,Jaundice,Palpable painful tumor in the right hypochondrium,E
