question,option_a,option_b,option_c,option_d,option_e,correct_answers
Witch group of diseases is the most common in young children?,Rheumatic diseases,Respiratory infections,Digestive system infections,Urinary tract infections,Nosocomial infections,B
Respiratory syncytial virus is the common cause of one of the following disorder in infants:,Purulent sinusitis,Bronchiolitis,Suppurative pleurisy,Diarrhea,Cold (coryza),B
What kind of disorder will a child with respiratory rhinovirus infection develop?,Infectious toxic encephalopathy,Gastrointestinal disorders,Pneumonia,Cold (coryza),Strep throat,D
Clinical symptom that will not be useful in the differential diagnosis of viral croup with epiglottitis is?,Dysphonia,Muffled voice,Sore throat and dysphagia,Hypersalivation,Wheezing,E
Which pediatric emergencies do not occur as a complication of acute respiratory infections?,Neurotoxicity,Epiglottitis,Viral croup,Bronchiolitis,Angioedema,E
The etiologic cause in over 80% of epiglottitis in children is infection with:,Str. pneumoniae,Haemophilus influenzae type B,Mycoplasma pneumoniae,Adenoviruses,Respiratory syncytial virus,B
Which of the following is the predominant pathogen associated with recurrent acute otitis media?,Hemophilus influenzae,Chlamydia trachomatis,Moraxella catarrhalis,Staphylococcus aureus,Streptococcus pneumoniae,E
Which of the following is not a typical sign of epiglottitis?,Respiratory distress,Dysphagia,Dysphonia,Dystonia,Drooling,D
Treatment of moderate viral croup (laryngotracheitis) includes all the following except:,40% oxygen,Racemic epinephrine,Amoxicillin,Cold humidified air,Dexamethasone,C
The management of epiglottitis includes all the following except,Administer humidified oxygen,Administer dexamethasone,Maintain in a sitting position,Administer cefuroxime,Perform a throat examination,E
Which acute respiratory infection is a major indication for child hospitalization?,Epiglottitis,Acute nasopharyngitis,Acute otitis externa,Acute simple bronchitis,Acute pharyngitis,A
What clinical sign is specific for children with viral croup?,Swelling of the face,Sialorrhea,Wet cough,Deglutition disorders,Dysphonia,E
The most common cause of upper respiratory tract infections in children is:,Gram positive bacteria,Gram negative bacteria,Viruses,Protozoa,Fungi,C
Which of the following is not a favorable factor for respiratory infections in children?,Swallowing disorders,Prematurity,Anemia,Breastfeeding,Rickets,D
Which of the following is not a predisposing factor for respiratory infections in children?,Hypersecretion of secretory IgA,Prematurity,Immature defense mechanisms,Small diameter of the airways,Genetically aggravated family anamnesis,A
Which pathophysiological mechanism is not characteristic for acute respiratory infections in children:,Mucosal edema,Increased mucociliary clearance,Mucosal infiltration,Vascular congestion,Mucus hypersecretion,B
Defense mechanisms of the respiratory system involves one of the following:,Serum IgA,Serum IgM,Serum IgG,Secretory IgA,Total IgE,D
Which of the following is not an appropriate cooling method in children with fever:,Undressing clothes,Sponging with ice water,Sponging with tepid water,Blowing warm air across the body,Sponging with alcohol,E
The first choice medication in the treatment of fever in children is:,Acetylsalicylic acid,Paracetamol,Ibuprofen,Diclofenac,Metamizole,B
The second choice medication in the treatment of fever in children is:,Acetylsalicylic acid,Paracetamol,Ibuprofen,Diclofenac,Metamizole,C
Highlight the specific prophylactic measure for respiratory infections in children:,Oseltamivir,Unguentum Oxolini,Interferon,Vaccination,Tempering the body,D
The viral infection which frequently evolves with croup is?,Enterovirus infection,Parainfluenza,Adenovirus infection,Rotavirus,Influenza,B
