question,option_a,option_b,option_c,option_d,option_e,correct_answers
Choose the class of immune cells that plays principal role in the  pathogenesis of  bronchial asthma:,lymphocytes,endothelial cells,eosinophils,monocytes,fibroblasts,C
Choose the class of immunoglobulins that is involved  in the pathogenesis of  atopic (allergic) bronchial asthma in children:,Immunoglobulin A,Immunoglobulin D,Immunoglobulin E,Immunoglobulin M,Immunoglobulin G,C
Choose main pathogenetic mechanism in childhood asthma development:,Inflammation of bronchial mucous membrane of allergic etiology,Inflammation of bronchial mucous membrane of viral etiology,Inflammation of bronchial mucous membrane of bacterial etiology,Autoimmune inflammation of bronchial mucous membrane,Inflammation of bronchial mucous membrane of fungal etiology,A
Choose the local effect of  histamine that is not characteristic for bronchial asthma:,Increased permeability of blood capillaries,Increased mucus secretion,Bronchodilation,Bronchoconstriction,Swelling of the bronchial mucous membrane,C
Choose the clinical sign that is not characteristic for children with bronchial asthma exacerbation:,Spasmodic cough with white sputum,Expiratory dyspnea,"Agitation of the child, anxiety, headache",Inspiratory dyspnea,Nocturnal cough,D
Choose the most efficient way to administer sodium cromoglycate in children with bronchial asthma:,intravenously,subcutaneously,intramuscularly,by inhalation,orally,D
Choose the effect of mast cell stabilizing drugs in the treatment of childhood asthma:,prevent the release of allergic reaction mediators,block beta2-adrenoreceptors in the bronchial wall,decrease bronchial hyperreactivity,increase bronchial hyperreactivity,allow to decrease the dose adrenomimetic drugs,C
Choose the pathogenetic manifestation that is not characteristic for childhood asthma:,spasm of the bronchial smooth muscles,swelling of the bronchial mucous membrane,mucus hypersecretion,eosinophil infiltration of the mucous membrane,laryngeal spasm,E
Choose the group of drugs that is not indicated for anti-inflammatory treatment of childhood asthma:,Nonsteroidal anti-inflammatory drugs,Inhaled corticosteroids,Antileukotriene drugs,Sodium cromoglycate,Ipratropium bromide,A
Choose the group of drugs that frequently exacerbate asthma in children:,Aspirin,Corticosteroids,Antihistamines,Theophylline,Antileukotriene drugs,A
Choose the test used for daily assessment of bronchial variability in childhood asthma:,ECG,Cardiointervalography,Peak expiratory flow rate measurment,Chest X-ray,Echocardiography,C
Choose the biomarker of allergic inflammation in sputum of children with bronchial asthma:,Increased eosinophil count,Increased leukocyte count,Increased neutrophil count,Increased monocyte count,Thrombocytopenia,A
Choose the principal aim of childhood asthma treatment in children:,To obtain and maintain the control of clinical manifestation of the disease,Treatment of any infection sites,Treatment of associated diseases,Improvement of nasal breathing,Improvement of blood microcirculation,A
A child manifest acute asthma exacerbation. Which laboratory result will provide the health-care team with the most important information regarding the child’s respiratory status?,CBC (complete blood count),ABG (arterial blood gases),BUN (blood ureea nitrogen),aPTT (activated partial tromboplastin time),total serum IgE level,B
