question,option_a,option_b,option_c,option_d,option_e,correct_answers
Mark the most common etiological factor of acute bronchitis in children:,Food allergens,Protozoa,Bacteria,Fungi,Viruses,E
Clinical examination in acute bronchitis in children finds the following change:,Crackles,Unilateral dullness,Vesicular murmur,Wet diffuse rhonchi that change after coughing,Located adventitious sounds,D
Indicate the type of cough in the onset of acute bronchitis in children:,Productive with sputum,Barking (spastic),Paroxysmal (in bouts),Dry,Staccato,D
Indicate the difference between acute obstructive bronchitis and acute simple bronchitis in children?,Wheezing,Productive cough,Fever,Barking cough,Dry cough,A
Mark the radiological aspect that is not characteristic for acute bronchiolitis in children?,Bronchial wall thickening,Tram-track opacities,Lobar infiltrates,Atelectasis,Hyperinflation,B
Which of the clinical symptoms is not characteristic for bronchiolitis in children:,Chest retractions,"Polypnea, tachypnea",Diffuse fine adventitious sounds,Localized crackles,Wheezing,D
Mark the most common pathogen identified in the etiology of acute bronchiolitis in children:,Respiratory syncytial virus,Influenza virus type A1,Influenza virus type A2,Parainfluenza viruses,Enteroviruses,A
Which of the statements does not characterize acute bronchiolitis in children:,Affects small airways (bronchioles),It is caused by viruses,Wheezing,Inspiratory dyspnea,Tachypnea,D
Choose the compulsory clinical sign in acute simple bronchitis in children:,Dullness on percussion,Diffuse wet rhonchi,Localized crepitation,Infectious syndrome,Dyspnoea,B
Which group of drugs is used in the treatment of acute simple bronchitis in children:,Antibiotics,Bronchodilators,Anticoagulants,Cough suppressants,Expectorants,E
Antibiotics in the treatment of acute bronchitis in children are used in the case of:,Viral infection,Bacterial infection,Fungic infection,High fever,Wet cough,B
"Which of the diseases is characterized by frequent, acute wet cough?",Acute stenosis of the larynx,Acute simple bronchitis,Bronchial asthma,Pleurisy,Cystic fibrosis,B
Indicate the method of choice to confirm the diagnosis of acute simple bronchitis,Chest X-ray,Lung function test,Lung scintigraphy,Electrocardiography,Clinical examination,E
Select the preferred route of antibiotics administration in children?,Oral,Intramuscular,Intravenous,Subcutaneous,Rectal,A
Mark the pathogenic mechanism of the development of acute bronchiolitis in children:,Chronic inflammation of the airways,Acute inflammation of the distal segments of the airways,Increased salt mass on airway surfaces,Compression of lung tissue,Imparment of surfactant function,B
Select the clinical sign in differential diagnosis between pneumonia and bronchiolitis in children:,Dyspnoea,Decreased vesicular murmur,Chest retractions,Unilateral dullness,Diffuse adventitious sounds,D
Which of diseases is characterized by expiratory wheezing in children:,Acute pharyngitis,Acute stenosing laryngitis,Acute obstructive bronchitis,Epiglottitis,Pneumonia,C
Which of diseases is characterized by inspiratory stridor in children:,Pneumonia,Laryngeal obstruction,Asthma exacerbation,Bronchiolitis,Cystic fibrosis,B
Select the bronchodilator drug:,Salbutamol,Ambroxol,Bromhexine,Carbocisteine,Acetylcysteine,A
Select the pharmacological action of salbutamol:,Selective β2-adrenergic receptor stimulation,α- and β-adrenergic receptors stimulation,α-adrenergic receptors antagonist,β-adrenergic receptors antagonist,nonselective adrenergic receptor stimulation,A
Factors that increase the risk of acute obstructive bronchitis include:,Malnutrition,Rickets,Atopic dermatitis,Passive smoking,Bottle feeding,"C,D,E"
Select the physical examination findings in acute simple bronchitis in children:,Localized dullness,Prolonged expiration,Normal resonance on percussion,Diffuse wet rhonchi,Bronchophony,"B,C,D"
Select the physical examination findings in acute obstructive bronchitis in children,Chough,Inspiratory dyspnea,Stridor,Expiratory wheezing,Localized dullness,"A,D"
Which of indices characterizes the severity of bronchiolitis in children,SaO2 < 90%,PaO2 ≤ 60 mmHg,PaCO2 ˃ 40 mmHg,SaO2 ˃ 96%,PaCO2 ≤ 45 mmHg,"A,B,C"
Select the possible outcomes of acute obstructive bronchitis:,Full recovery,Recurrent wheezing,Bronchial asthma,Chronic lung disease,Cystic fibrosis,"A,B,C"
Which statements are characteristic for acute bronchiolitis in children?,Occurs mainly in infants,Frequently affects children of school age,Inflammation of the distal segments of the airways,Most common of bacterial etiology,Obstruction of bronchioles,"A,C,E"
Select the physical examination findings in acute bronchiolitis in children:,Tachypnea,Emphysematous chest,Unilateral dullness,Diffuse crepitations,Prolonged expiration,"A,B,D,E"
Select the methods for improving airway clearance in acute bronchitis in children:,Administration of systemic enzymes,Fluidization of the mucus,Adequate fluid intake,Postural drainage,Chest physiotherapy,"B,C,D,E"
Which statements are characteristic for infection with respiratory syncytial virus (RSV) in children?,Reinfection with RSV occurs frequently at all ages,Breast-feeding is considered protective factor,"The first infection is usually the most severe, may require hospitalization",RSV reinfections are more likely to be limited to the upper respiratory tract,Forms long-lasting immunity,"A,B,C,D"
Antiviral therapy for severe RSV disease is indicated in the following cases of acute bronchiolitis:,Premature infants who are younger than 1 year chronological age at the RSV infection,Infants with chronic lung disease,Infants with mild RSV infection,Infants with hemodynamically significant congenital heart disease,Preschool children with severe RSV infection,"A,B,D"
Pharmacological management of acute bronchiolitis does not routinely include the use of:,Oxygen supply,Cardiac glycosides,Glucocorticosteroids,Antibiotics,Bronchodilators,"B,C,D,E"
Treatment of acute simple bronchitis with purulent expectoration in children includes:,Antibiotics,Antivirals,Chest physiotherapy,NSAIDs,Mucolytic,"A,C,E"
Treatment of bronchoobstructive syndrome includes:,beta 2 - agonists,Anticholin,ergics,Leukotriene antagonist,Inhaled corticosteroids,"A,B,C,D"
Admission criteria in children with obstructive bronchitis:,Chronic lung or heart disease,"Dyspnea and intercostal retractions, indicating respiratory distress",Age younger than 3 months,Parent unable to care for child at home,"Diffuse, fine wheezing","B,C,D"
Select the possible complications of acute bronchiolitis in childre?,Severe respiratory failure,Pneumonia,Chronic lung disease,Dehydration,Cystic fibrosis,"A,B,D"
Expiratory wheezing is characteristic for following disorders:,Acute obstructive bronchitis,Bronchial asthma,Croup,Pharyngeal abscess,Acute uncomplicated pneumonia,"A,B"
Evaluation of a schoolchild with acute simple bronchitis includes the following studies:,Complete blood count,Procalcitonin levels,Bronchography,Chest X-ray,Lung function test,"A,B,D,E"
Wheezing is a common complaint in the following respiratory disorders:,Bronchial asthma,Acute obstructive bronhitis,Bronchiolitis,Right middle lobe syndrome,Pneumonia,"A,B,C"
Specify the action mechanism of β2-agonists:,Inhibits binding of circulating histamine to its receptor site,Smooth muscle relaxation and bronchodilation,Reduce airway resistance,Increase airway resistance,Decrease volume of airway secretions,"B,C"
