question,option_a,option_b,option_c,option_d,option_e,correct_answers
Finger clubbing is not characteristic for:,Diffuse bronchiectasis,Cystic fibrosis,Bronchiolitis obliterans,Complicated acquired pneumonia,Primary ciliary dyskinesia,D
Mark the pathogenic mechanism that is not specific for bronchopulmonary dysplasia,Morphological immaturity of the lungs,The toxicity of oxygen therapy,Bronchial hyperreactivity,Respiratory distress syndrome in neonates,Increased lung ventilation with positive pressure,C
Which sign on X-ray is characteristic for bronchiectasis?,Focal pneumosclerosis,Lobar consolidation,“Honeycomb” pattern,“Tenting” of the diafphragm,Increased density with undefined borders,C
The workup of a child with chronic cough does not include:,CT pulmonary angiography,Chest X-ray,Bronchoscopy,Sputum bacteriology,Lung function test,A
Mark pathology that is not a chronic bronchopulmonary disease:,Marfan syndrome,Unilateral lobar pulmonary agenesis,Pulmonary hypoplasia,Bronchiolitis obliterans,Pulmonary arteriovenous malformations,A
What clinical sign characterize chronic bronchopulmonary pathology?,Splayfoot,Finger clubbing,Arachnodactylia,Brachydactyly,Rachitic rosary,B
The method of choice for diagnosis of bronchiectasis is:,Lung scintigraphy,Bronchography,Chest X-ray,Bronchoscopy,Computed tomography,E
Select the sign that is not characteristic for cystic fibrosis,Exocrine pancreatic insufficiency,Increased weight gain,Chronic cough,Low weight gain,Viscous sputum,B
The method of choice for diagnosis of primary ciliary dyskinesia is,Bronchography,Sputum bacteriology,Bronchial and nasal brush biopsy,Lung scintigraphy,Paranasal sinus radiography,C
The method of choice for diagnosis of cystic fibrosis is:,Complete blood count,Coprological examination,Sweat test,Chest X-ray,Abdominal ultrasound,C
Which clinical sign is cardinal for chronic bronchopulmonary diseases:,Sore throat,Wheezing,Fever,Chest pain,Chronic cough,E
Which statement is not characteristic for pulmonary hemosiderosis?,Is a rare disorder,Abnormal accumulation of iron as hemosiderin in alveolar macrophages,Occurs almost exclusively in premature infants,Subsequent development of pulmonary fibrosis,Severe anemia,C
Neonatal onset of cystic fibrosis is not characterized by:,Chronic productive cough,Meconium ileus,Prolonged jaundice,Diarrhea with steatorrhea,Failure to thrive,A
Pulmonary atelectasis can be confirmed by one of the following methods:,Chest computed tomography,Upper gastrointestinal tract radiography,Chest X-ray,Pulmonary ultrasound,Lung function test,A
Which statement does not characterize the bronchoscopy purposes:,Remove a foreign body from the lungs,Remove excessive secretions,Collect the biopsy specimens,Local therapy with antiseptic and antibacterial solutions,Remove bronchiectasis,E
Immotile ciliary syndrome is characteristic for:,Cystic fibrosis,Postinfectious obliterative bronchiolitis,Kartagener syndrome,Polycystic lung,Pulmonary hemosiderosis,C
Which statement is characteristic for pulmonary emphysema in children:,Decrease in vital capacity,Increased residual lung volume,Increased expiratory reserve volume,Increased the one-second forced expiratory volume,Increased inspiratory reserve volume,B
Select the hallmark for chronic inflammation in children with bronchiectasis:,Stridor,Chronic cough with mucopurulent sputum,Pleural friction rub,Localized wheezing on auscultation,Diffuse  wheezing on auscultation,B
Which of the following sign is characteristic for pulmonary hemosiderosis:,Presence of hemosiderin-laden macrophages in sputum,High level of serum iron,Pulmonary hyperinflation,Lobar consolidation,Low immunoglobulin E level,A
Mark the method of choice for diagnosis of bronchiectatic disease in children:,Chest computed tomography,Pneumotachometry,Chest X-ray,Lung function test,Peakflowmetry,A
Select the radiological feature that is characteristic for pulmonary hemosiderosis in children:,Lobar consolidation,Pulmonary hyperinflation,Reticular interstitial opacities,Patchy alveolar infiltrates,Solitary pulmonary nodule,D
Which of the following diseases for diagnostic requires sweat test:,Community acquired pneumonia,Cystic fibrosis,Chronic bronchitis,Bronchial asthma,Kartagener syndrome,B
Multiple choice,Diagnostic workup in bronchopulmonary dysplasia includes the following tests:,High-resolution CT,Pulse oximetry,Arterial blood gas (ABG) sampling,Chest X-ray,"A,B,C,D"
Sweat test,The characteristics that determine the unfavorable evolution of cystic fibrosis in children are:,Respiratory infection with Pseudomonas aeruginosa,Broncho-obstructive syndrome,Cor pulmonale,Chronic respiratory failure,"A,C,D,E"
Growth failure,The treatment of a child with primary bronchopulmonary dysplasia will include:,Chest physiotherapy,Pancreatic enzyme replacement therapy,Antibacterial treatment in exacerbation of respiratory infection,Inhaled antibiotics,"A,C,D,E"
Specific immunization (influenza and pneumococcal vaccination),Kartagener syndrome is characterized by the following clinical signs?,Bronchoobstructive syndrome,Bronchiectasis,Chronic sinusitis,Chronic tonsillitis,"B,C,E"
Situs viscerum inversus,The computer tomography signs of bronchiectasis in children are:,Patchy alveolar infiltrates,Tram track opacities,Signet ring sign,Ground-glass opacity,"B,C"
Lobar volume loss,Clinical manifestations characteristic for chronic interstitial lung disease in children are:,Tachypnea and/or dyspnea,Localized lymphadenopathy,Dry and nonproductive cough,"Growth retardation, signs of weight loss, and/or failure to thrive","A,C,D"
