question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. Choose the statement that is not characteristic for hemophilia:,hematoma is a characteristic type of bleeding,hemarthrosis is a characteristic type of bleeding,bleedings are spontaneous or late posttraumatic,petechiae is the most specific symptom of hemophilia,normal platelet count,D
2. Hemophilia A represents deficit of the coagulation factor:,IX,VIII,XI,XII,V,B
3. First line treatment for acute bleeding in a child with hemophilia A includes:,intravenous fluid infusions,epsilon-aminocaproic acid infusions,factor replacement infusions with cryoprecipitate,blood transfusions,platelet transfusion,C
4. Choose what is contraindicated in the treatment of children with hemophilia:,factor replacement infusions with cryoprecipitate in case o bleeding,fibrin glue for local treatment in mucosal bleedings,proper dental hygiene is a preventive measure,aspirin and aspirin-containing products,prophylactic self-infusion of factor VIII or IX,D
5. Choose the type of inheritance in hemophilia A:,autosomal dominant disorder,autosomal recessive disorder,X-linked recessive inheritance,multifactorial inheritance,teratogenic problem,C
6. Choose the statement that is characteristic for Von Willebrand disease:,hematoma is a characteristic type of bleeding,"mixed type bleeding (hematoma, petechiae, bruising)",skin purpura is a characteristic type of bleeding,unfavorable prognosis,frequent hemarthrosis,B
7. Choose the statement that is not characteristic for Von Willebrand disease:,tipically patients have <50% of normal von Willebrand factor (VWF) in plasma,frequent nosebleeds and easy bruising,"excessive bleeding during and after invasive procedures, such as tooth extractions and surgery",low platelet count,increased Bleeding Time test,D
8. Choose the statement that is not characteristic for hemophilia A:,normal or low hemoglobin/hematocrit values,normal bleeding time and normal prothrombin time,prolonged activated partial thromboplastin time (aPTT),low factor VIII levels (less than 50% activity),low platelet count,E
9. Choose the most frequent hereditary bleeding disorder in children:,Congenital hypofibrinogenemia,Hemophilia A (factor VIII deficiency),Hemophilia B (factor IX deficiency),Hemophilia C (factor XI deficiency),Factor XII deficiency,B
10. Coagulation of factor VIII has all of the following characteristics EXCEPT:,reduced activity in hemophilia A,reduced activity in classic von Willebrand disease,needed for normal platelet adhesion,reduced levels in disseminated intravascular coagulation,normal level in liver disease,C
"11. The prothrombin time, which is a test of the extrinsic or tissue coagulation pathway, is abnormally prolonged in:",hemophilia A,von Willebrand disease,congenital factor XIII deficiency,congenital factor VII deficiency,congenital factor XI deficiency,D
"12. Coagulation studies on a patient with a bleeding disorder show factor VIII coagulant activity of 10 units/dL, factor IX coagulant activity of 60 units/dL, and von Willebrand factor activity of 100 units/dL. (Normal range for all three tests is 70 to 150 units/dL.) The bleeding time was 6 minutes (normal <10 minutes). These findings are diagnostic of:",liver disease,von Willebrand disease,hemophilia A,hemophilia B,thrombasthenia,C
13. The PTT is a useful screening test for detecting abnormally low plasma levels of:,factor VII,factor VIII,factor XIII,platelets,protein C,B
1. Clinical manifestations of hemophilia include the followings:,bleeding from minor traumatic lacerations of the mouth that may persist for hours or days,easy bruising and intramuscular hematomas,hematoma of the iliopsoas muscle manifest with hyperextension of the hip and externally rotated position owing to irritation of the iliopsoas,hemarthrosis is the hallmark of hemophilic bleeding,earliest joint hemorrhages appear most commonly in the ankle,D
2. Indicate the diagnostic criteria of hemophilia:,normal or low hemoglobin/hematocrit values,normal bleeding time and normal prothrombin time,low platelet count,prolonged activated partial thromboplastin time (aPTT),low factor VIII or IX levels,"B,D"
3. Indicate causes of life-threatening bleeding in the patient with hemophilia:,bleeding into central nervous system,hemarthroses,external trauma,gastrointestinal hemorrhage,iliopsoas hemorrhage,"A,C,D,E"
4. Indicate specific features for mild hemophilia:,may not be diagnosed in first years of life,patients frequently have spontaneous hemorrhages,individuals may experience prolonged bleeding after dental work or surgery,plasmatic activity of factor VIII or IX is between 1 and 5%,endogenous factor VIII can be released by the administration of desmopressin acetate,A
5. Select the statements characteristic for von Willebrand disease:,"recessive, X-linked transmission",autosomal-dominant transmission,diminishing of thrombocytes adhesion and aggregation,mixt bleeding type,frequent hemarthroses,"B,C,D"
6. The following statements are correct for hemophilia B:,presence of hematomas and hemarthroses,increased partial activated thromboplastin time,prognosis for life is favorable,factor IX deficit,factor XI deficit,D
7. The followings are contraindicated in hemophilia treatment:,cryoprecipitate,short-time immobilization of affected articulation,long-time immobilization of affected articulation,heparin administration,lyophilized concentrates of factor VIII,D
8. Treatment for acute hemarthrosis in patients with hemophilia includes:,blood transfusion,cryoprecipitate transfusion,short-time immobilization of the joint,heparin administration,mandatory joint puncture,"B,C"
9. The follows are characteristic for Von Willebrand disease:,autosomal type of inheritance,X-linked type of inheritance,diminishing of thrombocytes adhesion and aggregation function,prolonged bleeding time,large and profound hematomas,"A,C,D"
10. The typical clinical manifestations of Von Willebrand disease are:,gum bleeding,epistaxis ( nasal bleeding),hematomas,erythematous/maculopapular rash,"Petechiae, ecchymosis","A,B,C,E"
11. Von Willebrand disease has the following characteristics:,autosomal type of inheritance,isolated disorder of primary hemostasis,isolated disorder of secondary hemostasis,mixt type coagulopathy,X-linked trait,"A,D"
For hemophilia A is characteristic:,is the commonest inherited bleeding disorder,inheritance is autosomal dominant with variable penetrance,severity is determined by level of factor VIIIc,is treated with factor VIII given by IM injection,is no longer treated with prophylactic factor VIII because of HIV risk,"A,C"
The following statement concerning hereditary bleeding disorder are correct:,Risk of blood born infections in case of frequent transfusions,Antenatal diagnosis of hemophilia A is possible,Von-Willebrand disease is inherited as an autosomal recessive manner in the majority of patient,Children with hemophilia have normal prothrombin time,"In hemophilia A, spontaneous bleeding into the joint occur when the factor VIII concentration is reduced to 20% of normal","A,B,D"
