question,option_a,option_b,option_c,option_d,option_e,correct_answers
Note the atypical characteristic of  arthritis  in  Systemic Lupus Erythematosus:,Oligoarthritis,Polyarthritis,Erosive arthritis,Asymmetrical arthritis,Arthritis of big joints,C
Specify the number of criteria for diagnosis of Systemic Lupus Erythematosus:,2,4,11,5,1,B
Name the drug used in Puls–therapy in Systemic Lupus Erythematosus:,Methotrexate,Methylprednisolone,Meloxicam,Hydroxychloroquine,Mofetil Meclofenamate,B
Note the pathogenethic mechanism in Systemic Lupus Erythematosus:,Autoimmune,Infectious–allergic,Poly etiologic,Monophasic,Infectious,A
Determine the gender ratio in Systemic Lupus Erythematosus:,F:M=8:1,F:M=1:3,F:M=1:1,F:M=2:1,F:M=1:8,A
Specify the average onset age in Systemic Lupus Erythematosus:,1-5 years,2-4 years,1-3 months,3-7 years,10-15 years,E
Note the classical skin manifestation in Systemic Lupus Erythematosus:,Livedo reticularis,Raynaud’s syndrome,Telangiectasia,Malar „butterfly” rash,Alopecia,D
Name the manifestation which is not attributed to  ACR Criteria  for diagnosis of Systemic Lupus Erythematosus:,Serosities,Neurological manifestation,Oral non-painful ulcerations,Raynaud’s Syndrome,Antinuclear antibodies,D
Determine the drugs which may exacerbate Systemic Lupus Erythematosus:,Methyldopa,Procainamide,Diclofenac,Chlorpromazine,Vitamin  E,"A,B,D"
Note the frequent bone and joint manifestations in Systemic Lupus Erythematosus:,Jaccound arthropathy,Non erosive arthritis,Erosive arthritis,Arthritis of small joints of hands,Osteoporosis,"A,B,D,E"
Name the acute skin manifestations in Systemic Lupus Erythematosus:,Malar „butterfly” rash,Photosensitivity,Discoid-Lupus Rush,Erythematous and  bullae lesions,Telangiectasia,"A,B,D"
Note the chronic skin lesions in Systemic Lupus Erythematosus:,Hyperkeratosis,Photosensitivity,Atrophy of the epidermis,Telangiectasia,Macular lesions,"A,C"
Determine the vascular signs in Systemic Lupus Erythematosus:,Livedo reticularis,Panniculitis,Alopecia,Eyelid rush,Ulcerations of the edges of fingers,"A,B,D,E"
Specify  the manifestations of  polyserositis in Systemic Lupus Erythematosus:,Peritonitis in 5-10%,Pleuritis,Pericarditis,Pleuritis and  pericarditis,Haemopericarditis,"A,B,C,D"
Determine the morphologic classes of nephritis in Systemic Lupus Erythematosus  according to WHO classifications:,Mesangial minimal nephritis,Focal lupus nephritis,Glomerular sclerosis,Membranous-proliferative nephritis,Mezangial proliferative nephritis,"A,B,C,E"
Note the cardiovascular manifestations in Systemic Lupus Erythematosus:,Arrhythmias,Pericarditis,Libman–Sacks verrucous endocarditis,Bacterial endocarditis,Arterial hypertension,"A,B,C"
Name the pulmonary manifestations in Systemic Lupus Erythematosus:,Lupus pneumonitis,Pleuritis,Pulmonary hypertension,Pulmonary infarcts,Pulmonary embolism,"A,B,C,E"
Note the central nervous system manifestations in Systemic  Lupus Erythematosus:,Peripheral Neuropathy,Psychosis,Meningoencephalitis,Febrile seizures,Cranial nerve involvement,"A,B,E"
Specify the immunological abnormalities in Systemic  Lupus Erythematosus:,Antinuclear antibodies,Anti–DNA antibodies,Anti-centromer antibodies,Anti-cardiolipinic antibodies,Anti-phospholipidic  antibodies,"A,B,D,E"
Note the specific hematologic manifestations in Systemic Lupus Erythematosus:,Anemia,Leukocytosis,Leukopenia and lymphopenia,Thrombocytosis,Thrombocytopenia,"A,C,E"
Specify the drugs used in treatment of Systemic Lupus Erythematosus:,Non-steroid anti-inflammatory drugs,Steroids,Immunosuppressors,Biologic drugs (inhibitors of Tumor Necrosis Factor-α),Antibacterial drugs,"A,B,C,D"
14. Specify the non-medicamentous treatment in Systemic Lupus Erythematosus:,a.   Hypolipidic diet,b.  SPF 30–50 protective creams,c.  Food rich in Calcium and  vitamin  D,"d.  Coffee, strong tea",e.  Avoiding psycho-emotional stress,"A,B,C,E"
15. Specify unfavorable factors for evolution of Systemic Lupus Erythematosus:,Thrombocytopenia,Arterial Hypertension,Onset before the age of 20 years,High activity of disease,Antinuclear antibodies,"B,C,D"
Name the major criteria for diagnosis of Systemic Scleroderma:,Bilateral basilar pulmonary fibrosis,Sclerodermic lesions of the skin  proximal to the metacarpophalangeal or metatarsophalangeal joints,Fever,Digital ulceration,Weight loss,B
