question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. CS. Choose the most frequent congenital heart disease found in premature new-borns:,Atrioventricular septal defect,Ventricular septal defect,Patent ductus arteriosus,Coarctation of the aorta,Tetralogy of Fallot,C
2. CS.  Which of  the following congenital heart diseases does not develop in  left-to-right shunt?,Ventricular septal defect,Atrial septal defect,Tetralogy of Fallot,Atrioventricular septal defect,Patent ductus arteriosus,C
3. CS.  Congenital heart disease with decreased pulmonary flow is:,Atrial septal defect,Tetralogy of Fallot,Ventricular septal defect,Atrioventricular septal defect,Aortopulmonary window,B
4. CS. Classification of ventricular septal defects does not include the following type:,Infundibular,Muscular,Infantile,Atrioventricular (subaortal) septal defect,Perimembranous,C
5. CS.  The optimal age for surgical closing of large ventricular septal defect is:,The age of 5 years,The age of 1 year,3 years old,15 years old,After the age of 5 years,B
"6. CS. In ductus dependent congenital heart disease, the maintenance of open arterial channel is performed by  the administration of:",Indometacin,Prostaglandin E,Immunoglobulin,Ibuprofen,Oxygen therapy,B
"7. CS.  In Tetralogy of Fallot  the common clinical signs of chronic hypoxia are the following, except:",Digital hyppocratism,Polyglobulia,Cerebral abscess,Leukocytosis,Hypoxic accesses,D
8. CS.  The major surgical indication for correction of  aortic stenosis in children is:,Appearance of clinical manifestations,The value of transvalvular pressure gradient over   Hg,Right ventricle hypertrophy,Considerable poststenotic dilation,Diastolic murmur,B
9. CS.  In the diagnosis of congenital heart disease the gold standard test is:,Electrocardiography,Cardiopulmonary radiography,Bidimensional Doppler echocardiography,X-ray computed tomography,Coronarography,C
10. CS.  In children with syntetic prosthesis the obligatory postoperative procedure is:,Prophylaxis of infectious endocarditis throughout life,Anticoagulant treatment under the coagulation control once a month,Cardiac catheterism every 6 months,Control of coagulation once in 2 weeks throughout life,Obligatory hemoculture once in 3 months,B
11. CS.  Which of the following drugs has the fastest diuretic action:,Hypothiazide,Furosemide,Acetazolamide (diacarb),Spironolactone (verospiron),Triampur,B
12. CS. Choose the unspecific clinical sign for acute heart failure:,Pale skin,Thready pulse,Lower blood pressure,Skin redness,Dyspnea,D
13. CS.  The drug which does  not induce orthostatic collapse is:,Nifedipine,Atenolol,Anaprilin,Prednisolone,Izoptin,D
14. CS.  Which of the following drugs is not recommended in acute heart failure:,Dopamine,Prednisolone,Mesatone,Dobutamine,Adrenaline,B
15. CS. Choose the drug that is not recommended in the emergency therapy in  Adams Morgan Stokes crises in III degree AV block:,Digoxin,Dopamine,Dobutamine,Adrenaline,Atropine,A
"16. CS. Choose the drug that is not recommended for children with Tetralogy of Fallot and ""tet spells"":",Digoxin,Oxygen,Propranolol,Diazepam,Infusion therapy,A
17. CS. Choose the clinical sing that is nonspecific for a six-month-old child with large ventricular septal defect:,Dyspnoea,Malnutrition,Tachycardia,Emphasis II sound of pulmonary artery,Seizures,E
"18. CS.  Organic murmurs can occur in, except:",Tetralogy of Fallot,Minor heart abnormalities,Transposition of great vessels,Ventricular septal defect,Coarctation of the aorta,B
19. CS. What is indicated after surgical/interventional treatment for coarctation of the aorta (adult tip):,Surgical aortoplasty,β-blocker,Angiotensin converting enzyme inhibitors,Limitation of exercise,Aldosterone receptor antagonists,A
20. CS. Choose the first choice investigation to detect congenital heart malformations:,Electrocardiography,Echocardiography,Computed tomography of the heart,Magnetic resonance examination of the cardiovascular system,Chest X ray,B
1. MC. Choose  anatomic anomalies in Tetralogy of Fallot:,Ventricular septal defect,Pulmonary stenosis,Atrial septal defect,Right ventricle hypertrophy,Dextrapozition of aorta,"A,B,D,E"
2. MC. Characteristic clinical signs of large ventricular septal defect:,Dyspnea,Difficulties of alimentation,Diastolic murmur,Malnutrition,Recurrent respiratory infections,"A,B,D,E"
3. MC.  Vascular malformations are:,Ebstein anomaly,Coarctaion of the aorta,Anomalies of coronarian arteries,Anomaly of aortic arch,Unique ventricle,"B,C,D"
4. MC.  Hemodynamic factors responsible for the natural history of ventricular septal defect are:,Dimensions of defect,Direction of interventricular shunt,Localization of defect,Pressure in pulmonary artery,Thickness of the left ventricle wall,"A,B,C,D"
5. MC.  Echocardiographic criteria of complete atrioventricular channel are:,Ostium primum atrial septal defect,Ventricular septal defect  located high,Pulmonary artery stenosis,Unique atrioventricular valve,Muscular ventricular septal defect,"A,B,D"
6. MC. Choose  cyanotic congenital heart diseases:,Unique ventricle,Common arterial trunk,Transposition of great vessels,Ventricular septal defect,Patent ductus arteriosus,"A,B,C"
7. MC. Postductal (adult) type coarctation of aorta is characterized by the following clinical signs:,Lower extremity arterial pressure is lower that the upper extremity,Diffuse cyanosis,Systemic arterial hypertension,Diminished pulse on lower extremity,Lower extremity blood pressure is higher than that of the upper extremity,"A,C,D"
8. MC.  Cyanotic congenital heart disease with hypervascularization in pulmonary circulation are:,Tetralogy of Fallot,Complete  transposition of great vessels (D-transposition),Atrial septal defect,Total anomaly of pulmonary venous return,Patent ductus arteriosus,"B,D"
9. MC.  In congenital heart disease with left-to -right shunt postsurgical complications are:,Disorders of cardiac rhythm and conductibility,Frequent respiratory infections,Residual shunts,Bacterial endocarditis,Intestinal hemorrhages,"A,C,D"
10. MC.  Clinical sings of small atrial septal defect are:,Continuous murmur on aorta,Asymptomatic,Discrete systolic murmur with auscultative maximum at basis of heart,Splitting of II sound,Dyspnea on effort,"B,C,D"
11. MC.  Typical radiological signs of diminished pulmonary vascularity (bright lung fields) are:,Pulmonary stenosis,Tetralogy of Fallot,Pulmonary embolism,Eisenmenger syndrome,Large ventricular septal defect with chronic heart failure,"A,B,C,D"
12. MC. Changes of P-wave (P pulmonale”right-heart”) are detected in:,"P sharp, with high amplitude in II, III, aVF in pulmonary stenosis",Severe pulmonary hypertension,Ebstein's anomaly,Mitral insufficiency,Large ventricular septal defect,"A,B,C"
13. MC. Radiological signs of increased left heart  are revealed in case of:,Dilated left ventricle on myocarditis,Dilated cardiomyopathy,Mitral insufficiency,Heart failure,Tetralogy of Fallot,"A,B,C,D"
14. MC.  Diseases producing syncopal states are:,II-III degree of atrioventricular blocks,Coarctation of aorta,Hypertrophic cardiomyopathy,Small atrial septal defect,Patent foramen ovale,"A,B,C"
15. MC. Clinical sings of syncope are:,Marked decrease of heart rate,Absence of pulse,Marked bradypnea until apnea,Collapse of blood presure,Presence of pulse,"A,B,C,D"
16. MC. Characteristics of chest pain with cardiac substrate:,Coronary insufficiency,Severe aortic stenosis,Coarctation of aorta,Pulmonary hypertension,Minor heart abnormalities,"A,B,C,D"
17. MC.Which of the following tests are applied in the diagnosis  of congenital heart diseases:,Coronary angiography,Ventriculography,Endomyocardial biopsy,Pericardiocentisis,Echocardiography,"A,B,E"
18. MC. Choose congenital heart malformations with asymptomatic evolution:,Small ventricular septal defect (<),Small atrial septal defect,Large aortic stenosis,Large pulmonary artery stenosis,Large ventricular septal defect,"A,B,C,D"
19. MC. Congenital heart malformations with severe evolution are:,Cyanotic anomalies,Large atrial septal defect,Large ventricular septal defect,Critical coarctation of aorta,Patent foramen ovale (2-),"A,B,C,D"
20. MC. Pale  congenital heart malformations are:,Atrial septal defect,Transposition of great vessels,Total anomalous venous drainage,Coarctation of the aorta,Ventricular septal defect,"A,D,E"
21. MC.  Cyanotic congenital heart malformations are:,Ebstein anomaly,Double outlet right ventricle,Total anomalous venous drainage,Aortic stenosis,Pulmonary artery stenosis,"A,B,C"
