question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. SC What is not characteristic for clinical picture of acquired malnutrition by II degree,Decreased appetite,Increased digestive tolerance,Unstable stool,Reduced tissular turgor,Hypotonic musculature,B
2. SC What above-named factors don’t constitute a qualitative alimentary mistake in acquired,Insufficient rate of proteins,Insufficient rate of glucides,Insufficiency of lipids,Total caloric insufficiency,Increased number of breast feedings,E
"3. SC The paraclinical picture of acquired malnutrition by II degree is characterized through the following changes, except:",The gastric juice secretion and acidity decrease,The basic metabolism decreases,The mobility of phagocytes is reduced,The secretory Ig A decreases,The activity of disaccharidases increases,E
"4. SC Causes of malnutrition in children are the following, except:",Low calorie foods,Giving insufficient food,Deglutition disorders,"Insufficient intake quantitatively, determined by chronic vomiting",Overused carbohydrates,B
"5. SC The congenital malnutrition is a result of the following etiologic factors, except:",Gestation pathologies in mother,The toxic influence of different professional noxious factors on mother and fetus,Over nutrition of mother during pregnancy,Chronic diseases on mother,Poor maternal nutrition during pregnancy,E
"6. SC The acquired malnutrition can be a result of the following congenital malformations, except:",Pylorostenosis,Syndactilia,Megacolon,Atresia of biliary ducts,Congenital heart diseases,C
"7. SC The acquired malnutrition is a consequence of the following factors, except:",Alimentary,Recurrent respiratory infections,Congenital heart diseases,Mother’s stress state because of the formula feed,Hereditary enzymatic anomalies,B
8. SC The recurrent respiratory infections in malnutrition do not contribute to:,Decreasing of appetite,Gastrointestinal disorders,Increasing of gastric juice quantity,Decreasing of disaccharides activity,Metabolic disorders,D
9. SC Select which of those listed is not a criterion for assessing the degree of malnutrition in infants:,Gradual disappearance of subcutaneous adipose tissue,Ponderal index,Etiologic factor,Nutritional index,Clinical picture,C
10. SC The alimentary volume for 24 hours in I degree malnutrition constitutes:,1/4 from real meal,1/5 from real meal,1/6 from real meal,1/7 from real meal,1/8 from real meal,C
11. SC The following quantity of proteins is necessary to  of real body mass in the stage of,"0,3 -  / kg","0,5 - 0,7 g/kg","0,7 - 1,5 g/ kg","2,5 -  /kg","3,0- 3,5 g/kg",B
12. SC The following quantity of lipids is necessary to  of real body mass at the beginning of II stage of diet therapy in the case of malnutrition:,"4,0 -  / kg","5,0-  / kg","5,5- / kg","6,0-  / kg","2,5-  / kg",C
13. SC The following quantity of glucides is necessary to  of real body mass at the beginning of II stage of diet therapy in the case of malnutrition:,10 -  / kg,11 -  / kg,12 -  / kg,13 -  / kg,16 -  / kg,A
14. SC The following quantity of kilocalories is necessary to1 kg of real body mass at the III stage of diet therapy in the case of malnutrition:,100 - 110 kcal / kg,110 - 120 kcal / kg,130 - 150 kcal / kg,150 - 160 kcal / kg,170 - 180 kcal / kg,B
15. SC Select the main objective in the treatment of I degree of malnutrition in infant:,Antibiotics use,Acid-base and hydro-electrolytic rebalancing,Eliminating diet mistakes,Digestive and nutritional recovery,Blood transfusion,C
16. SC Select the main criterion in second degree of acquired malnutrition:,Decreases subcutaneous abdominal and chest fat,Nutritional index equal to 0.95-1.1,Reduced appetite,Weight index equal to 0.76 to 0.61,Low digestive tolerance,D
17. SC Indicate the hallmark clinical sign in the third degree of malnutrition:,The limbs and trunk low fat,Nutritional index from 0.89 to 0.76,Weighted index below 0.61,A psychic and neuromotor normal development,A normal digestive tolerance,C
18. SC Specify the hallmark clinical sign in the first degree of malnutrition:,Deficit weight 20%,Deficit weight 21-30%,Nutritional index from 0.75 to 0.61,Crashed digestive tolerance,Hypotonia,A
19. SC Specify the criterion that does not mean the estimation of the malnutrition:,Waist,The medium perimeter arm,The thorax perimeter,Skin fold thickness,Decrease serum lipids,D
20. SC Specify the first laboratory indication investigated in malnutrition:,"Blood count, hemoglobin, hematocrit",The concentration of hydrogen in breathing,Blood vitamins determination,Abdominal ultrasound,Abdominal X-ray,A
1. MC The laboratory data of the acquired malnutrition of II degree is characterized by:,Increasing of gastric juice secretion and acidity,Decreasing of basal metabolism,Decreasing of secretory Ig A,Increasing of disaccharides activity,Reducing of phagocytes mobility,"C,D,E"
2. MC The qualitative alimentary mistakes as etiologic factors of acquired malnutrition are the following:,Insufficient rate of glucides,Insufficient rate of proteins,Insufficiency of lipids,Increased number of meals,Using especially the vegetal proteins,"A,B,C,E"
3. MC What refer to quantitative alimentary mistakes as etiologic factors of acquired malnutrition,Increased appetite,Insufficient quantitative intake determined by chronic vomiting,Hypogalactia in mother,Formula feeding,Deglutition and sucking disorders,"B,C,E"
4. MC The assessing criteria of the degree of the infant malnutrition are:,Determining the weight curve,Assessment of the body fat,Thickness of the tricipital fold,Index nutrition,The trophicity and muscle tone,"A,B,C,D"
5. MC The acquired malnutrition can be provoked by the following etiologic factors:,Hypocaloric alimentation,Recurrent infections and intestinal parasitosis,Congenital malformations of the digestive tract,Vaccinoprophylaxis,Hereditary enzymopathies,"A,B,C,E"
7. MC The chronic disorders of nutritional state in suckling babies include the following:,Weight charts range 50 to 75 percentiles,Hypostature,Overweight,Normal growth patterns,Mucocutaneous jaundice,"B,C"
8. MC What are the adaptative modifications producing in the body in III degree of malnutrition?,The insufficiency of the mechanisms of neuroendocrine regulating,Low energy reserves,The mobilization of the free fatty acids to the liver,A low capacity of the antiinfectious adaptation,The excessive increase of the stature,"B,C,D"
9. MC The malnutrition by III degree is characterized by:,The deficiency of body mass more than 5%,"Ponderal index less than 0,61","Nutritional index less than 0,71",The subcutaneous adipose tissue disappears on the abdomen,Growing retardation,"A,B,C,D"
10. MC The clinical picture of the acquired malnutrition of III degree is characterized by:,Decreased appetite till anorexia,Decreased digestive tolerance,Constipation,Pink color of skin,The elasticity of skin fold is  not changed,"B,C,E"
