question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. The newborn’s breathing is the result of:,high flexibility and finesse of the chest wall,joining laryngeal breathing,small distance from the glottis to auscultation area,all of the above,none of the above,D
2. Mechanisms of heat loss in newborns are:,radiation,holding,eradiation,evaporation,all of the above newborn’s smell of “Mouse” may be associated with: а) [] Gose disease b) [] Patau syndrome с) [х] Phenylketonuria d) [] Leukocytosis е) [] prescribing vitamins,E
4. Milia is a skin condition and represents the:,blockage of the sweat ducts,blockage of the sebaceous glands,bacterial destruction of sebaceous glands follicle,none of the above,bacterial defeat of sweat ducts,B
5. Which fontanelle appears opened at birth?,Frontal-lateral,Lateral,posterior,anterior,all of the above,D
6. What conditions can be associated with systolic murmur?,healthy newborns,pulmonary hypertension,respiratory distress syndrome,pneumonia,all of the above,E
7. How much urine can excrete a newborn with normal weight within the first hours of life?,50 ml/ kg,25 ml/ kg,6-8 ml / kg,physiological anuria or oliguria,40 ml / kg,D
8. Which is the normal skin temperature of a newborn?,"35,0 - 35,1 ° C","36,0 - 36,1 ° С","36,1- 36,5 ° C","36,6 - 37,4 ° C","37,4 - 38,0 ° C",D
9. What kind of milk contains the least amount of lipids?,colostrum,transitional milk,mature milk,"mother's milk, which gave birth to full-term baby",cow's milk,B
10. Exclusive breastfeeding means:,the child is not given any product other than breast milk,do not use bottle,feeding 8-12 times a day,feeding 5-6 times per day,feeding no more than 6-8 times a day,A
11. Contraindication for breast feeding:,hemolytic disease of the newborn,active tuberculosis,nonpurulent mastitis,dehiscence of the hard palate and lips,mother receiving antibiotics,B
12. What is the physiological weight loss in the first days of life?,15% of weight,200 gramme,400 gramme,6% of weight,None of these,D
13. What diet is recommended for a 3-month old baby?,milk + fruit juice,Milk + egg yolk,Milk + vegetable broth,Milk + vegetable puree,only breast milk,E
14. Contraindication for breastfeeding:,purulent mastitis,cracked nipples,galactorrhea,newborn's thrush,None of these,A
15. The ratio of protein: lipid: carbohydrate in human milk is:,1:2:1,2:3:6,1:3:6,2:2:3,1:1:6,C
17. How to asses an effective ventilation of the newborn?,"Good chest expansion, visible deep breathing newborn","Pressure gauge record adequate ventilation for a particular child, even if you do not see","Observe chest movements, effective breathing",All statements are true,None of the above,C
18. The first resuscitation step takes:,10 to 15 sec,from 15 to 30 sec,30-60 sec,1 minute,More than one minute,B
19. List the true statements:,"The Apgar score is appreciated at 1st minute after birth, it is useful for the decision to initiate the reanimation",The Apgar score is not necessarily for newborn requiring resuscitation,"Pipes used in neonates are all the same size, both preterm and those born at term",None of the above,All statements are true,A
20. Transmission ways of the pathogens from mother to fetus,hematogenous spread,by infected fetal fluid,Lymphogenous spread,ascending,all,E
21. At what age eyes eliminations can be considered as a manifestation of bacterial infection:,24-48 hours,2-5 days,10-12 hours,All of the above,None of the above,B
22. Transient dysbacteriosis of the newborn is characterized by:,it manifests at all newborns,It manifests in newborns with intrauterine infection,It manifests in dismature newborns,This is due to staphylococci colonization in the intestine of the newborn,It is a sign of intestinal obstruction,A
23. The earliest symptom of ulcerative necrotizing enterocolitis (70%):,abdominal bloating,temperature instability,Apnea,bradycardia,None of the above indicated,A
