question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. What  factor  influences    vitamin    D   absorption in the  small  intestine?,Normal  absorption  of  lipids,Increased  concentration of  proteins  in  foods,Decrease of  electrolytes in the  child’s foods,Increased concentration of  group   B   vitamins in   child’s food,Increased  concentration  of  glucides in   child’s food,A
2. What  metabolit of  vitamin   D   is the  most  active ?,Cholecalciferol,7 - dihydroxycholecalciferol,25 -  oxyvitamin  D  3,"24,25 - dioxyvitamin  D 3","1,25 - dioxyvitamin  D 3.",E
"3. The formation  of  metabolit 1,25 ( OH ) 2 D in kidneys is  stimulated by the following factors,",except:,Hypocalcemia,Hypercalcemia,Increased concentration of  parathormone,Hypovitaminosis    D,B
4. In  what  organ is synthesized the  most active  metabolit  of  vitamin    D  ?,Skin,Intestine,Liver,Kidneys,Stomach,D
5. In which of the following  alimentary products  has the highest  concentration of  vitamin   D?,Mother’s  milk,Cow’s  milk,Egg yolk,Milk formula   Malish,Milk  formula   Bona,C
"6.   Hyperplasia of  osteoid tissue forms  the  following  symptoms,  except:",Harrison  groove,Frontal  and  parietal skull  prominences (bossing),Rickets  rosary,Rickets bracelets  (  thickening  of the  wrists ),Pearl  necklace,A
7. What  is  the  daily  physiologic requirement in  vitamin   D   in  children ?,40 IU,50  IU,200  IU,300  IU,400   IU,E
8. At  which age appear the commonly symptoms of  vitamin  D  deficient  rickets ?,3-4   months,3-4  weeks,20  days  - 1  month,3  weeks  -  3 months,2-  4  months,B
9. The IIIrd degree  vitamin  D   deficient  rickets   is  characterized by  the following,"symptoms, except :",Pronounced  bone deformity,Severe  anemia,Severe  involvement of  internal  organs,Neuromotor and  physical retardation,E
10. Which of the following is not considered the clinical sign for the onset of  vitamin  D  deficient  rickets  :,Craniotabes,Increased sweating,Occipital  alopecia,Troubled sleeping,"Red,  stable  dermographism",A
"11. The following  deformities  of  thorax can  be observed in vitamin D  deficient rickets,",except :,Anterioposterior  plate  chest,Bottomed sternum  ( shoemaker  sternum ),Pigeon chest,The Harrison  groove,E
"12.In deficient rickets  the signs of osteomalacia are the following,  except:",Craniotabes,Increased  flexibility of  anterior  fontanelle  margins,The Harrison  groove,Flattened  occipital  region,Occipital  alopecia,E
