question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. CS. The most frequent congenital malformation of esophagus is:,Esophageal duplication,Esophageal stenosis,Esophageal atresia,Esophageal fistula,Megaesophagus,C
2. CS. A newborn after delivery has hypersalivation. The first feeding attempt (after 2-3 swallows) causes cyanosis and coughing. Dyspnea and polypnea occurs. What is the suspected diagnosis?,Esophageal fistula,Esophageal stenosis,Diaphragmatic hernia,Esophageal duplication,Esophageal atresia,E
"3. CS. The following affirmations concerning esophageal atresia are right, excepting:",Esophageal atesia is the most frequent and severe congenital malformation of the esophagus,"Esophageal atresia is a fatal disease, because of impossibility to feed the newborn",There are communications between esophagus and trachea in some types of esophageal atresia.,Drooling and excessive oral salivation are the dominant symptoms of esophageal atresia,Vomiting with milk is the dominant symptom of esophageal atresia,E
4. CS. The recurrent pneumonia is more common in the following congenital malformation:,Esophageal diverticulum,Esophageal achalasia,Traheo-esophageal fistula,Congenital diaphragmatic hernia,Hypertrophic pyloric stenosis,C
"5. CS. A newborn 5 hours after birth presents progressive expiratory dyspnea, polypnea, cyanosis and coughing. On inspection the left hemithorax is bulged, with horizontal ribs and widened intercostal spaces. On percussion of the affected side tympanic resonance is present and on auscultation the vesicular respiration is absent. The abdomen is without any findings. What is the suspected diagnosis?",Spontaneous pneumothorax.,Congenital diaphragmatic hernia,Congenital bronchogenic cyst,Azygous pulmonary lobe,Congenital lobar emphysema,E
6. CS. Which of the examinations below is of most value in the diagnosis of congenital lobar emphysema?,"Plain chest X-ray, upright view",Bronchography,Bronchoscopy,Computed tomography,Scintigraphy,A
7. CS. The hypertrophic pyloric stenosis is a:,High bowel obstruction at the level of papilla Vateri,Low bowel obstruction at the level of pylorus,High bowel obstruction at the level of pylorus due to hypertrophy of mucosa,High bowel obstruction at the level of pylorus due to muscle hypertrophy,Low bowel obstruction at the level of pylorus due to muscle hypertrophy,D
8. CS. The main symptom of hypertrophic pyloric stenosis is:,Dyspnea,"Projectile vomiting with food (milk or formula), the vomiting volume exceeds the last meal amount",Bilious vomiting,Abdominal distension,Digestive hemorrhage,B
9. CS. In hypertrophic pyloric stenosis the vomiting occurs:,At any age,Up to the age of 1 year,After the age of 6 month,After the age of 1 year,Around 14-21 days postnatally,E
"10. CS. A firm, painless on palpation, olive shaped tumor in the right hypochondrium, in the pancreato-duodenal area in a child of 5 weeks, who have projectile milky vomiting from the age of 3 weeks, is present in:",Pyloric duplication,Incomplete duodenal obstruction by a perforated web,Congenital hypertrophic pyloric stenosis,Annular pancreas,Bowel intussusception,C
11. CS. The bilious vomiting from the birth is a dominant symptom in:,Congenital hypertrophic pyloric stenosis,Pyloric spasm,Duodenal stenosis,Duodenal atresia,Ileal atresia,D
12. CS. The ultrasound sign characteristic for hypertrophic pyloric stenosis is:,"""Target"" sign","""Doughnut"" sign","""Beak"" sign","""Corkscrew"" sign","""Antral nipple"" sign",E
"13. CS. The following affirmations about Ladd syndrome are true, excepting:",Ladd syndrome is a congenital extrinsic duodenal obstruction,In Ladd syndrome the ascendant colon is not fixed in the right gutter,In Ladd syndrome the ascendant colon remains hanged in place of colon transversum,In Ladd syndrome the parietocolic ligament (Ladd's bands) compresses the second part of the duodenum,In Ladd syndrome the parietocolic ligament (Ladd's bands) compresses the ileum,E
14. CS. The meconeal ileus is a consequence of:,Internal hernias,Bowel stenosis,Jejunoileal duplications,Colonic duplications,Cystic fibrosis,E
15. CS. The key role in the pathophysiology of Hirschsprung disease plays the following:,Congenital or acquired rectal stenosis.,Short bowel syndrome,Functional causes,Aganglionosis,Anorectal malformations,D
16. CS. The following affirmations as far as congenital megacolon (Hirschsprung disease) is concerned are true excepting:,"The positive diagnostic is established on the base of clinical signs, anorectal manometry, barium enema and rectal biopsy.",The aganglionosis (lack of Auerbach's and Meissner's plexus ganglia) plays the key role in the pathophysiology of Hirschsprung disease.,Severe cases of Hirschsprung disease are self curing.,At the anorectal manometry the rectoanal inhibitory reflex is absent.,In mild cases of Hirschsprung disease the constipations occur after several months from the birth when the alimentary diversification in attempted.,C
17. CS. The following affirmations in a child with congenital megacolon are true:,Diagnosis is established on the base of clinical signs,Diagnosis is established on the base of rectal examination,Diagnosis is established on the base of ultrasound examination,"Diagnosis is established on the base of clinical signs, clinical findings, anorectal manometry, barium enema and rectal biopsy.",Diagnosis is established on the base of barium enema,D
18. CS. The commonest type of intussusception in an infant is:,Ileoileal,Colocolonic,Jejunojejunal,Appendicular,Ileocecocolonic,E
"19. CS. The intermittent, crampy abdominal pain associated with recurrent vomiting,  ""currant jelly"" stools and  a palpable abdominal mass are the symtoms triad in:",Diverticulitis,Acute appendicitis,Gastroenteritis,Bowel intussusception,Necrotizing enterocolitis,D
"20. CS. A child of 7 months is admitted after 13 hours from the sudden disease onset against the background of full wellbeing. At the admission he presented colicky abdominal pains, recurrent vomiting. The child is agitated and refuses the food. The agitation periods alternate with periods of quietness. The abdomen is of normal shape, soft, elastic and slightly painful. In the subepatic area an elongated, cylindrical, elastic mass, with smooth surface is palpated. The stools are absent from the onset. What is the suspected diagnosis?",Appendicular infiltrate,Intestinal volvulus,Bowel intussusception,Retroperitoneal tumor,Pancreatic cyst,C
21. CS. The definitive diagnosis of the bowel intussusception in an older child is based on:,Physical examination,"Physical examination, plain abdominal X-ray film, air enema, abdominal ultrasound",Only on the base of plain abdominal X-ray,Only on the base of air enema,Only on the base of abdominal ultrasound,B
22. CS. The following affirmations as far as hemangiomas are concerned are true excepting:,Hemangiomas are vascular tumors which consist of abnormal vessels,Hemangiomas have a potential of dramatic progression in size in the first 6 months of life,In 70-75% of cases hemangiomas are self curing tumors and don't need any treatment,Hemangiomas complications include hemorrhage and infection,Hemangiomas are located only on the face,E
"23. CS. The following affirmations concerning branchial cleft cysts are true, excepting:","Branchial cleft cysts are congenital epithelial cysts, which arise on the lateral part of the neck from a failure of obliteration of the second branchial cleft in embryonic development","Branchial cysts are smooth, nontender, fluctuant masses, which occur along the lower one third of the anteromedial border of the sternocleidomastoid muscle between the muscle and the overlying skin","When associated with a sinus tract, mucoid or purulent discharge onto the skin or into the pharynx may be present",The branchial cleft cyst is a congenital lesion formed by incomplete involution of the thyroglossal duct,"Complications of surgical excision of branchial cleft cysts result from damage to nearby vascular or neural structures, which include carotid vessels and the facial, hypoglossal, vagus, and lingual nerves",D
24. CS. The commonest complication of acute appendicitis in children is:,Appendicular infiltrate,Intraperitoneal hemorrhage,Bowel obstruction,Liver abscess,Diffuse peritonitis,E
25. CS. The main symptom of esophageal atresia is:,Dysphagia,Hypersalivation,Bilious vomiting,High gastrointestinal hemorrhage,Abdominal distension,B
26. CS. Which of the examinations below is of most value in the diagnosis of esophageal atresia?,Thoraco-abdominal plain X-ray in the upright position,Thoraco-abdominal plain X-ray in the upright position with contrasting probe introduced in the esophagus,Thoraco-abdominal X-ray with contrast substance (Upper gastrointestinal series),Bronchoscopy,Scintigraphy,B
27. CS. The main symptom of tracheo-esophageal fistula (H fistula) is:,Drooling and hypersalivation,Milk regurgitation after 1-2 sucks,Cyanosis from the birth,"Noisy respiration, dyspnea from the birth",Recurrent coughing during feeding (the coughing interrupts sucking),E
28. CS. The cause of generalized cyanosis in neonate is:,Tracheo-esophageal fistula,Diaphragmatic hernia,Pectus carinatum,Pectus excavatum,Congenital bronchiectasis,B
"29. CS. The following affirmations as far as congenital lobar emphysema is concerned are wrong, excepting:",Congenital lobar emphysema is an asymptomatic disease,The dominant symptom of congenital lobar emphysema is sepsis,"The dominant symptoms of congenital lobar emphysema are dyspnea, polypnea and progressive cyanosis",The dominant symptom of congenital lobar emphysema is coughing with mucopurulent expectorations.,"In children with congenital lobar emphysema chest X-ray reveals a round shaped, air-liquid shadow on the affected side.",C
30. CS. Which of the examinations below is of most value in the diagnosis of congenital diaphragmatic hernia?,Plain toraco-abdominal film,Scintigraphy,Bronchoscopy,Barium enema,Computed tomography,A
31. CS. Which sign is the most important and informative in the onset of hypertrophic pyloric stenosis?,Colicky abdominal pain,Abundant stools,Fever,Food refusal,Projectile vomiting after feeding,E
32. CS. In the hypertrophic pyloric stenosis the vomiting is:,"Precocious, immediately after birth",Bilious,White projectile and explosive,Seldom,Without any consequences as far as body weight gain is concerned,C
"33. CS. Milky projectile, explosive vomiting at the age of 6 weeks is permanently present in a child with:",Cow's milk protein intolerance,Congenital hypertrophic pyloric stenosis,Duodenal stenosis,Ladd syndrome,Hiatal hernia,B
34. CS. The body weight of a child with hypertrophic pyloric stenosis:,Increases abruptly,Decreases dramatically,Stagnates,Normally increases,Stagnates and subsequently gradually decreases,E
35. CS. The main radiographic sign of hypertrophic pyloric stenosis is:,"Elongated, filiform, centrally located pyloric canal (""string sign"")",Dilated pyloric canal,Eccentric pyloric canal,Significant gastric stasis,Strong gastric waves along greater and lesser curvatures of the stomach,A
36. CS. The dominant symptom in the duodenal atresia is:,Milky projectile vomiting,"Precocious, bilious, recurrent vomiting",Meconial vomiting,Meconial and then fecaloid vomiting,Distended abdomen,B
37. CS. The presence of 2 air-liquid levels in the upper abdomen (on the opposite sites of the spine) on the thoraco-abdominal plain X-ray film in the upright position is a sign of:,Esophageal atresia type C,Duodenal atresia,Duodenal stenosis,Colonic stenosis,Congenital hypertrophic pyloric stenosis,B
38. CS. The bowel aganglionosis in Hirschsprung disease leads to:,Excessive peristaltic waves in the aganglionic segment,Dilatation of the aganglionic segment,Colonic atresia,Absence of peristaltic waves in the aganglionic segment,Absence of the peristaltic waves at the level of small bowel,D
39. CS. Most cases of primary intussusception occur in children at the age of:,1-2 months,12 months,In the first 7 days of life,6-36 months,In the first hours of life,D
"40. CS. The following affirmations regarding thyroglossal cyst are true, excepting:",A thyroglossal cyst is a fibrous cyst that forms from a persistent thyroglossal duct,"It usually presents as a midline neck lump (in the region of the hyoid bone) that is usually painless, smooth and cystic",If infected pain can occur,"The most common locations for a thyroglossal cyst are midline or slightly off midline, between the isthmus of the thyroid and the hyoid bone or just above the hyoid bone",A thyroglossal cyst will not move upwards with protrusion of the tongue,E
44. CS. The dominant symptom of the duodenal atresia is:,Milky projectile vomiting,Bilious or nonbilious recurrent vomiting,Bilious and then meconial vomiting,Meconial and then fecaloid vomiting,Abdominal distension,B
